Summary Statistics of TFSA by FSA,,,,Contributions,,Withdrawals,,,,,,,,,,,,,,,,,,
PRUID,FSA,Number of Holders,FMV,(#),($),(#),($),,,,,,,,,,,,,,,,,
12,B0T,5110 ,119412000 ,2780 ,19356000 ,1540 ,10504000 ,,,,,,,,,,,,,,,,,
12,B0V,1950 ,46404000 ,960 ,6329000 ,570 ,3703000 ,,,,,,,,,,,,,,,,,
12,B0W,8380 ,203941000 ,4320 ,28626000 ,2170 ,15263000 ,,,,,,,,,,,,,,,,,
12,B1A,3550 ,70835000 ,1900 ,14067000 ,1140 ,7190000 ,,,,,,,,,,,,,,,,,
12,B1B,340 ,8682000 ,180 ,1734000 ,100 ,639000 ,,,,,,,,,,,,,,,,,
12,B1C,480 ,9469000 ,240 ,1792000 ,140 ,962000 ,,,,,,,,,,,,,,,,,
12,B1E,360 ,6544000 ,180 ,1522000 ,100 ,800000 ,,,,,,,,,,,,,,,,,
12,B1G,440 ,8193000 ,230 ,1675000 ,150 ,1048000 ,,,,,,,,,,,,,,,,,
12,B1H,2130 ,39883000 ,1070 ,7146000 ,670 ,4676000 ,,,,,,,,,,,,,,,,,
12,B1J,410 ,13171000 ,180 ,1592000 ,100 ,1044000 ,,,,,,,,,,,,,,,,,
12,B1K,1050 ,25340000 ,540 ,4142000 ,270 ,2257000 ,,,,,,,,,,,,,,,,,
12,B1L,1620 ,39607000 ,900 ,6969000 ,470 ,3188000 ,,,,,,,,,,,,,,,,,
12,B1M,370 ,9817000 ,210 ,1575000 ,100 ,521000 ,,,,,,,,,,,,,,,,,
12,B1N,1170 ,19887000 ,590 ,3947000 ,380 ,2400000 ,,,,,,,,,,,,,,,,,
12,B1P,3590 ,77010000 ,1860 ,13703000 ,1080 ,7678000 ,,,,,,,,,,,,,,,,,
12,B1R,1480 ,34937000 ,810 ,6499000 ,450 ,2977000 ,,,,,,,,,,,,,,,,,
12,B1S,2470 ,69219000 ,1260 ,11752000 ,660 ,5415000 ,,,,,,,,,,,,,,,,,
12,B1T,140 ,3751000 ,70 ,378000 ,40 ,344000 ,,,,,,,,,,,,,,,,,
12,B1V,1260 ,22105000 ,640 ,4608000 ,410 ,2018000 ,,,,,,,,,,,,,,,,,
12,B1W,300 ,1163000 ,110 ,453000 ,80 ,296000 ,,,,,,,,,,,,,,,,,
12,B1X,260 ,5698000 ,110 ,1059000 ,70 ,735000 ,,,,,,,,,,,,,,,,,
12,B1Y,1680 ,40032000 ,850 ,6374000 ,470 ,3304000 ,,,,,,,,,,,,,,,,,
12,B2A,1920 ,41384000 ,1010 ,7083000 ,570 ,3157000 ,,,,,,,,,,,,,,,,,
12,B2C,80 ,2188000 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,
12,B2E,20 ,483000 ,10 ,249000 ,10 ,128000 ,,,,,,,,,,,,,,,,,
12,B2G,4990 ,144868000 ,2750 ,23870000 ,1330 ,10734000 ,,,,,,,,,,,,,,,,,
12,B2H,4970 ,125539000 ,2740 ,21289000 ,1580 ,9966000 ,,,,,,,,,,,,,,,,,
12,B2J,20 ,550000 ,0 ,0 ,0 ,0 ,,,,,,,,,,,,,,,,,
12,B2N,6930 ,186018000 ,3930 ,33560000 ,2150 ,15778000 ,,,,,,,,,,,,,,,,,
12,B2R,1180 ,32650000 ,680 ,6814000 ,330 ,2513000 ,,,,,,,,,,,,,,,,,
12,B2S,2750 ,50648000 ,1650 ,11268000 ,940 ,5350000 ,,,,,,,,,,,,,,,,,
12,B2T,7020 ,175058000 ,4110 ,36088000 ,2030 ,16137000 ,,,,,,,,,,,,,,,,,
12,B2V,5090 ,127717000 ,3110 ,25403000 ,1530 ,10511000 ,,,,,,,,,,,,,,,,,
12,B2W,14110 ,396952000 ,8370 ,69059000 ,4280 ,32423000 ,,,,,,,,,,,,,,,,,
12,B2X,4570 ,114269000 ,2680 ,21529000 ,1400 ,10051000 ,,,,,,,,,,,,,,,,,
12,B2Y,5930 ,148790000 ,3470 ,28028000 ,1820 ,13814000 ,,,,,,,,,,,,,,,,,
12,B2Z,3120 ,62633000 ,1840 ,12046000 ,1050 ,6168000 ,,,,,,,,,,,,,,,,,
12,B3A,7280 ,170550000 ,4270 ,33262000 ,2240 ,13710000 ,,,,,,,,,,,,,,,,,
12,B3B,440 ,9179000 ,230 ,1711000 ,150 ,1101000 ,,,,,,,,,,,,,,,,,
12,B3E,2580 ,54787000 ,1540 ,12884000 ,870 ,5452000 ,,,,,,,,,,,,,,,,,
12,B3G,3660 ,56192000 ,2180 ,14505000 ,1350 ,7665000 ,,,,,,,,,,,,,,,,,
12,B3H,7240 ,270170000 ,4550 ,46874000 ,1650 ,16347000 ,,,,,,,,,,,,,,,,,
12,B3J,3200 ,90841000 ,2090 ,19177000 ,900 ,8312000 ,,,,,,,,,,,,,,,,,
12,B3K,8750 ,207067000 ,5410 ,43115000 ,2710 ,19908000 ,,,,,,,,,,,,,,,,,
12,B3L,7090 ,187132000 ,4240 ,36674000 ,1980 ,13914000 ,,,,,,,,,,,,,,,,,
12,B3M,13740 ,350628000 ,8380 ,71761000 ,4200 ,31479000 ,,,,,,,,,,,,,,,,,
12,B3N,6000 ,160731000 ,3550 ,30836000 ,1740 ,13196000 ,,,,,,,,,,,,,,,,,
12,B3P,4260 ,110593000 ,2510 ,21157000 ,1280 ,10176000 ,,,,,,,,,,,,,,,,,
12,B3R,2450 ,36167000 ,1390 ,7905000 ,800 ,4532000 ,,,,,,,,,,,,,,,,,
12,B3S,5870 ,173173000 ,3530 ,29406000 ,1730 ,13642000 ,,,,,,,,,,,,,,,,,
12,B3T,6450 ,125892000 ,3820 ,29194000 ,2050 ,13620000 ,,,,,,,,,,,,,,,,,
12,B3V,2180 ,54112000 ,1220 ,10500000 ,610 ,4320000 ,,,,,,,,,,,,,,,,,
12,B3Z,7200 ,188907000 ,4200 ,36818000 ,1990 ,16782000 ,,,,,,,,,,,,,,,,,
12,B4A,8460 ,270923000 ,5020 ,49280000 ,2220 ,22927000 ,,,,,,,,,,,,,,,,,
12,B4B,7140 ,192997000 ,4250 ,45132000 ,2080 ,18790000 ,,,,,,,,,,,,,,,,,
12,B4C,6560 ,140726000 ,3800 ,28520000 ,2060 ,13219000 ,,,,,,,,,,,,,,,,,
12,B4E,6730 ,117868000 ,4010 ,31322000 ,2340 ,15648000 ,,,,,,,,,,,,,,,,,
12,B4G,1870 ,36723000 ,1120 ,8484000 ,640 ,3849000 ,,,,,,,,,,,,,,,,,
12,B4H,4330 ,102472000 ,2350 ,18071000 ,1400 ,8599000 ,,,,,,,,,,,,,,,,,
12,B4N,6230 ,152884000 ,3440 ,26306000 ,1880 ,12939000 ,,,,,,,,,,,,,,,,,
12,B4P,3290 ,115416000 ,1910 ,18030000 ,810 ,6947000 ,,,,,,,,,,,,,,,,,
12,B4R,1110 ,28177000 ,630 ,5327000 ,330 ,1898000 ,,,,,,,,,,,,,,,,,
12,B4V,7670 ,203526000 ,4220 ,32974000 ,2290 ,16931000 ,,,,,,,,,,,,,,,,,
12,B5A,4590 ,109199000 ,2480 ,16767000 ,1370 ,9462000 ,,,,,,,,,,,,,,,,,
12,B6L,4670 ,114148000 ,2770 ,21394000 ,1480 ,9400000 ,,,,,,,,,,,,,,,,,
12,B9A,1260 ,30703000 ,670 ,5531000 ,330 ,2472000 ,,,,,,,,,,,,,,,,,
TOTAL,,332840 ,8283540000 ,188900 ,1528649000 ,99440 ,717183000 ,,,,,,,,,,,,,,,,,
13,E1A,16190 ,391342000 ,9410 ,81031000 ,5130 ,37499000 ,,,,,,,,,,,,,,,,,
13,E1B,7890 ,190439000 ,4610 ,36539000 ,2650 ,17129000 ,,,,,,,,,,,,,,,,,
13,E1C,7390 ,157813000 ,4230 ,31699000 ,2440 ,15683000 ,,,,,,,,,,,,,,,,,
13,E1E,4080 ,102191000 ,2310 ,18317000 ,1240 ,8443000 ,,,,,,,,,,,,,,,,,
13,E1G,8930 ,195872000 ,5290 ,42461000 ,2890 ,20121000 ,,,,,,,,,,,,,,,,,
13,E1H,2580 ,54761000 ,1500 ,11822000 ,890 ,5601000 ,,,,,,,,,,,,,,,,,
13,E1J,1430 ,30294000 ,840 ,5896000 ,470 ,2954000 ,,,,,,,,,,,,,,,,,
13,E1N,3180 ,77912000 ,1740 ,13154000 ,970 ,6177000 ,,,,,,,,,,,,,,,,,
13,E1V,3850 ,97581000 ,2070 ,17039000 ,1110 ,8350000 ,,,,,,,,,,,,,,,,,
13,E1W,2010 ,49877000 ,980 ,8891000 ,600 ,4948000 ,,,,,,,,,,,,,,,,,
13,E1X,2800 ,65418000 ,1320 ,10513000 ,790 ,5653000 ,,,,,,,,,,,,,,,,,
13,E2A,5370 ,139864000 ,2930 ,22391000 ,1640 ,11561000 ,,,,,,,,,,,,,,,,,
13,E2E,8340 ,244690000 ,5010 ,44965000 ,2430 ,19266000 ,,,,,,,,,,,,,,,,,
13,E2G,1960 ,46195000 ,1110 ,8722000 ,590 ,4373000 ,,,,,,,,,,,,,,,,,
13,E2H,1760 ,57096000 ,1020 ,9337000 ,470 ,3390000 ,,,,,,,,,,,,,,,,,
13,E2J,4890 ,95060000 ,2700 ,19357000 ,1730 ,10442000 ,,,,,,,,,,,,,,,,,
13,E2K,5320 ,129835000 ,3030 ,26587000 ,1640 ,12818000 ,,,,,,,,,,,,,,,,,
13,E2L,2140 ,46728000 ,1230 ,9045000 ,660 ,4145000 ,,,,,,,,,,,,,,,,,
13,E2M,6500 ,142350000 ,3730 ,27657000 ,2240 ,13900000 ,,,,,,,,,,,,,,,,,
13,E2N,1500 ,27289000 ,870 ,5519000 ,510 ,3393000 ,,,,,,,,,,,,,,,,,
13,E2P,390 ,5873000 ,220 ,1365000 ,150 ,1001000 ,,,,,,,,,,,,,,,,,
