FSA,EmploymentIncomePP,PensionIncomePP,InvestmentIncomePP,SelfEmpIncomePP,BenefitIncomePP,OtherIncomePP,EVGradient
L3P,60612,4887,13961,16944,9702,10490,
L3R,54289,6567,16563,14777,9953,10893,
L3S,41061,3889,7043,8918,10500,10674,
L3T,60824,6151,22617,16904,9877,11056,
L3V,41442,10987,12874,15859,9171,8910,
L3X,61830,2607,10958,15613,9686,10918,
L3Y,51997,6667,11933,15979,9219,10086,
L3Z,51605,2977,12257,13809,9395,9480,
L4A,63255,4906,18734,17755,9613,10908,
L4B,66006,2665,21411,19078,9856,10614,
L4C,54932,7688,17217,14791,10063,10546,
L4E,64626,2097,13272,15362,10329,10648,
L4G,70111,5024,23022,16163,9730,11662,
L4H,61392,2961,12623,16378,10100,9654,
L4J,64500,6604,21507,21197,9594,10778,
L4K,56854,1445,17520,13112,9317,10038,
L4L,60792,6902,20942,17606,8927,10311,
L4M,43822,6716,14642,15797,9060,9761,
L4N,49416,12099,10328,16271,9256,9342,
L4P,50991,2808,8267,14415,9054,9783,
L4R,41622,4493,11753,15611,8501,9353,
L4S,60445,1510,9773,14249,10196,10139,
L4T,31754,3344,5430,6172,10020,8469,
L4V,155725,2,212833,0,0,0,
L4W,56072,3130,11850,16264,9185,9813,
L4X,45006,1825,10751,10739,10147,9458,
L4Y,51219,3289,9396,11869,9608,9494,
L4Z,49555,2794,8878,11605,9957,9115,
L5A,45037,4812,7466,9969,10081,9364,
L5B,50805,4767,10343,11114,10100,9348,
L5C,49466,3465,11545,13698,9798,9626,
L5E,60642,1573,10995,18767,9305,10300,
L5G,82477,1856,30624,34950,9469,12354,
L5H,92696,1576,36807,38783,9476,13245,
L5J,66446,3154,19456,22346,9400,10454,
L5K,57858,1586,15014,22957,9940,10122,
L5L,54353,6300,16082,15857,9823,9969,
L5M,57330,6321,11764,13863,10001,9894,
L5N,56283,6157,7791,12532,9737,9570,
L5P,49600,0,0,0,0,0,
L5R,48975,3422,8369,10599,9895,9457,
L5S,61055,12,68717,14300,10800,8883,
L5T,61088,16,72744,9520,7275,18370,
L5V,50293,2707,8152,10162,10241,9199,
L5W,53519,818,9561,12073,10060,9274,
L6A,60338,4271,13165,16787,10057,9763,
L6B,57722,1017,8015,12772,10541,9875,
L6C,64244,1990,14996,17902,10392,10474,
L6E,56547,1931,7744,11816,10464,9782,
L6G,54304,312,8591,12303,9991,10677,
L6H,72030,5225,15278,24533,9510,11095,
L6J,128357,1876,63511,55841,9275,19317,
L6K,73491,1554,32440,28534,9329,13832,
L6L,80357,3797,24785,28781,8712,11526,
L6M,80129,3848,16412,24621,9717,11075,
L6P,42246,3169,9900,11170,10421,8687,
L6R,37493,4761,6683,8047,10160,8326,
L6S,42701,6190,8004,10096,9691,8686,
L6T,40365,3470,6047,6094,9699,8872,
L6V,40139,3589,4784,8020,9633,8482,
L6W,44118,2813,10368,11441,9616,9094,
L6X,44060,3734,7635,9903,9936,8570,
L6Y,40478,6434,8679,9626,9784,8610,
L6Z,47830,3269,11087,11442,9562,9241,
L7A,44634,2851,5762,8252,10158,8524,
L7B,87355,1135,44378,29901,9406,11828,
L7C,55161,2393,18277,15006,9683,9253,
L7E,61794,2983,16860,18057,9015,9453,
L7G,66760,4463,14763,19782,8805,10649,
L7J,57026,1488,14418,13754,8635,9408,
L7K,61994,1162,30564,18235,8878,12716,
L7L,70061,4889,17263,23820,9056,10858,
L7M,68555,5283,16268,22676,9453,13999,
L7N,69439,2104,27567,31234,8263,12704,
L7P,62961,4223,23784,23690,8933,10764,
L7R,60325,2720,21851,22750,9042,10227,
L7S,57706,2636,16449,21747,9142,10152,
L7T,61360,3555,48103,25503,9115,10466,
L8B,64053,1952,12575,17934,9147,11109,
L8E,48833,5252,10929,14307,9392,9440,
L8G,46087,4836,10367,14392,8872,9618,
L8H,40088,2802,5373,10776,9639,9468,
L8J,51233,2700,8808,15298,9600,9531,
L8K,43291,5056,6857,12298,9326,8840,
L8L,37203,2586,5146,11426,10359,9174,
L8M,43025,1332,8311,15620,10152,9705,
L8N,40734,1348,9770,12496,10357,9708,
L8P,50574,3317,21916,27820,9773,11086,
L8R,39569,1117,6899,14113,10548,10119,
L8S,42131,2306,14431,18165,9487,8952,
L8T,43515,3661,8191,12117,9181,9001,
L8V,41219,3643,5169,9430,9173,8504,
L8W,45139,3117,6669,10204,9861,9820,
L9A,42770,3784,6453,11683,9808,8782,
L9B,49164,3968,9522,14798,9840,8925,
L9C,44189,6897,9907,13431,9563,9481,
L9E,57992,391,15084,13654,10437,9370,
L9G,68284,4011,27195,34652,9091,11036,
L9H,59815,6279,21837,23169,8672,10437,
L9J,45591,286,6866,12413,9124,10183,
L9K,61469,1666,18131,22256,9746,10560,
L9L,54071,3339,18537,17448,8901,10982,
L9M,42553,4019,12616,14982,8388,9334,
L9N,55134,1547,8708,14979,9475,10641,
L9P,65058,2444,21473,18805,8498,11377,
L9R,49514,4384,12891,15189,8696,9232,
L9S,50977,3750,12763,12433,8871,9565,
L9T,60657,5541,10256,13348,9676,9352,
L9V,50233,1863,15181,9959,8707,9179,
L9W,54395,5633,16160,14715,8756,9262,
L9X,64793,1475,26122,24310,8820,9895,
L9Y,48054,7276,24365,24582,8672,10790,
L9Z,40019,7650,8129,16160,8326,9308,
