_id,FSA,BEV,PHEV,TotalEV
1,K0A,835,360,1195
2,K0B,91,54,145
3,K0C,184,118,302
4,K0E,134,74,208
5,K0G,240,112,352
6,K0H,216,134,350
7,K0J,84,76,160
8,K0K,419,247,666
9,K0L,265,139,404
10,K0M,177,67,244
11,K1A,29,62,91
12,K1B,101,52,153
13,K1C,205,160,365
14,K1E,67,35,102
15,K1G,159,129,288
16,K1H,127,87,214
17,K1J,184,111,295
18,K1K,168,111,279
19,K1L,48,54,102
20,K1M,85,58,143
21,K1N,101,77,178
22,K1P,27,14,41
23,K1R,90,44,134
24,K1S,310,230,540
25,K1T,249,124,373
26,K1V,302,218,520
27,K1W,134,64,198
28,K1X,60,13,73
29,K1Y,230,118,348
30,K1Z,151,81,232
31,K2A,212,107,319
32,K2B,116,86,202
33,K2C,161,92,253
34,K2E,131,67,198
35,K2G,292,156,448
36,K2H,171,102,273
37,K2J,614,294,908
38,K2K,232,120,352
39,K2L,82,70,152
40,K2M,238,121,359
41,K2P,100,48,148
42,K2R,24,11,35
43,K2S,387,188,575
44,K2T,150,58,208
45,K2V,145,61,206
46,K2W,116,34,150
47,K3M,,1,1
48,K4A,421,205,626
49,K4B,46,27,73
50,K4C,72,26,98
51,K4K,136,67,203
52,K4M,279,95,374
53,K4P,153,52,205
54,K4R,56,30,86
55,K5M,1,,1
56,K5W,2,,2
57,K6A,53,31,84
58,K6G,,1,1
59,K6H,83,53,136
60,K6J,31,26,57
61,K6K,15,6,21
62,K6T,2,1,3
63,K6V,75,62,137
64,K7A,44,28,72
65,K7C,132,48,180
66,K7G,34,17,51
67,K7H,81,57,138
68,K7K,140,74,214
69,K7L,178,106,284
70,K7M,204,131,335
71,K7N,31,14,45
72,K7P,151,67,218
73,K7R,46,25,71
74,K7S,61,19,80
75,K7V,35,17,52
76,K8A,49,42,91
77,K8B,,2,2
78,K8H,55,34,89
79,K8J,1,,1
80,K8K,,1,1
81,K8N,105,69,174
82,K8P,42,38,80
83,K8R,9,5,14
84,K8V,87,63,150
85,K9A,136,78,214
86,K9H,87,64,151
87,K9J,158,90,248
88,K9K,74,33,107
89,K9L,39,20,59
90,K9V,67,32,99
91,L0A,116,40,156
92,L0B,96,43,139
93,L0C,66,22,88
94,L0E,94,40,134
95,L0G,419,118,537
96,L0H,8,9,17
97,L0J,98,23,121
98,L0K,209,82,291
99,L0L,349,123,472
100,L0M,199,68,267
101,L0N,20,10,30
102,L0P,134,33,167
103,L0R,626,267,893
104,L0S,463,222,685
105,L0X,1,,1
106,L1A,87,43,130
107,L1B,80,27,107
108,L1C,301,109,410
109,L1E,145,64,209
110,L1G,145,73,218
111,L1H,129,54,183
112,L1J,199,72,271
113,L1K,303,87,390
114,L1L,158,44,202
115,L1M,202,78,280
116,L1N,293,155,448
117,L1P,290,76,366
118,L1R,320,83,403
119,L1S,323,117,440
120,L1T,430,115,545
121,L1V,436,127,563
122,L1W,165,46,211
123,L1X,286,64,350
124,L1Y,38,11,49
125,L1Z,346,122,468
126,L2A,75,28,103
127,L2E,59,30,89
128,L2G,127,57,184
129,L2H,165,72,237
130,L2J,59,32,91
131,L2M,76,44,120
132,L2N,152,75,227
133,L2P,53,28,81
134,L2R,152,147,299
135,L2S,84,45,129
136,L2T,43,27,70
137,L2V,106,35,141
138,L2W,10,4,14
139,L2Y,,1,1
140,L3A,1,,1
141,L3B,96,36,132
142,L3C,111,58,169
143,L3E,1,,1
144,L3G,,1,1
145,L3H,1,,1
146,L3J,80,39,119
147,L3K,57,32,89
148,L3L,15,1,16
149,L3M,300,148,448
150,L3N,1,,1
151,L3P,435,138,573
152,L3R,1003,273,1276
153,L3S,434,104,538
154,L3T,613,177,790
155,L3V,181,111,292
156,L3X,634,146,780
157,L3Y,352,169,521
158,L3Z,429,95,524
159,L4A,787,208,995
160,L4B,887,198,1085
161,L4C,936,223,1159
162,L4E,988,216,1204
163,L4G,1017,254,1271
164,L4H,1090,209,1299
165,L4J,842,236,1078
166,L4K,469,116,585
167,L4L,517,111,628
168,L4M,248,90,338
169,L4N,632,206,838
170,L4P,219,66,285
171,L4R,65,31,96
172,L4S,660,172,832
173,L4T,136,41,177
174,L4V,43,16,59
175,L4W,422,137,559
176,L4X,73,17,90
177,L4Y,148,47,195
178,L4Z,261,119,380
179,L5A,160,48,208
180,L5B,374,125,499
181,L5C,240,74,314
182,L5E,97,33,130
183,L5G,260,100,360
184,L5H,348,96,444
185,L5J,231,85,316
186,L5K,118,40,158
187,L5L,383,137,520
188,L5M,1101,294,1395
189,L5N,632,232,864
190,L5P,3,8,11
191,L5R,382,110,492
192,L5S,52,12,64
193,L5T,104,22,126
194,L5V,438,99,537
195,L5W,301,61,362
196,L5X,1,,1
197,L5Y,1,,1
198,L6A,1123,212,1335
199,L6B,602,119,721
200,L6C,1287,244,1531
201,L6E,535,114,649
202,L6G,108,42,150
203,L6H,1259,384,1643
204,L6J,617,209,826
205,L6K,283,139,422
206,L6L,602,167,769
207,L6M,1240,311,1551
208,L6N,1,1,2
209,L6P,1126,173,1299
210,L6R,643,161,804
211,L6S,266,112,378
212,L6T,203,116,319
213,L6V,171,68,239
214,L6W,146,47,193
215,L6X,696,153,849
216,L6Y,895,211,1106
217,L6Z,191,72,263
218,L7A,857,239,1096
219,L7B,444,79,523
220,L7C,646,134,780
221,L7E,338,106,444
222,L7G,460,179,639
223,L7H,2,,2
224,L7J,111,40,151
225,L7K,126,26,152
226,L7L,524,248,772
227,L7M,577,210,787
228,L7N,157,66,223
229,L7P,295,117,412
