_id,FSA,BEV,PHEV,TotalEV
230,L7R,185,96,281
231,L7S,84,48,132
232,L7T,171,93,264
233,L8B,305,99,404
234,L8E,316,122,438
235,L8G,104,43,147
236,L8H,73,37,110
237,L8J,214,71,285
238,L8K,88,69,157
239,L8L,88,45,133
240,L8M,39,38,77
241,L8N,54,31,85
242,L8P,119,81,200
243,L8R,35,20,55
244,L8S,59,41,100
245,L8T,57,36,93
246,L8V,44,30,74
247,L8W,106,49,155
248,L9A,92,50,142
249,L9B,145,76,221
250,L9C,198,113,311
251,L9E,380,44,424
252,L9G,312,131,443
253,L9H,322,190,512
254,L9J,55,7,62
255,L9K,231,64,295
256,L9L,95,35,130
257,L9M,53,36,89
258,L9N,395,76,471
259,L9P,153,77,230
260,L9R,186,56,242
261,L9S,299,81,380
262,L9T,1208,325,1533
263,L9V,124,49,173
264,L9W,366,133,499
265,L9X,163,45,208
266,L9Y,235,94,329
267,L9Z,120,56,176
268,M0N,1,,1
269,M1B,283,137,420
270,M1C,329,101,430
271,M1E,208,83,291
272,M1G,83,38,121
273,M1H,111,41,152
274,M1J,77,37,114
275,M1K,109,32,141
276,M1L,116,52,168
277,M1M,134,62,196
278,M1N,139,68,207
279,M1P,177,54,231
280,M1R,122,44,166
281,M1S,194,71,265
282,M1T,133,50,183
283,M1V,246,61,307
284,M1W,192,61,253
285,M1X,119,31,150
286,M2B,1,,1
287,M2H,172,54,226
288,M2J,447,141,588
289,M2K,265,80,345
290,M2L,233,62,295
291,M2M,261,85,346
292,M2N,715,233,948
293,M2P,189,29,218
294,M2R,153,81,234
295,M3A,407,56,463
296,M3B,309,75,384
297,M3C,188,50,238
298,M3H,256,88,344
299,M3J,132,40,172
300,M3K,61,13,74
301,M3L,48,16,64
302,M3M,31,19,50
303,M3N,63,17,80
304,M3R,,1,1
305,M3Y,1,,1
306,M4A,46,18,64
307,M4B,99,37,136
308,M4C,164,94,258
309,M4E,200,100,300
310,M4G,317,107,424
311,M4H,24,15,39
312,M4J,182,81,263
313,M4K,183,83,266
314,M4L,226,111,337
315,M4M,223,83,306
316,M4N,316,107,423
317,M4P,147,57,204
318,M4R,154,76,230
319,M4S,257,55,312
320,M4T,133,48,181
321,M4V,230,79,309
322,M4W,240,84,324
323,M4X,41,12,53
324,M4Y,148,41,189
325,M5A,281,77,358
326,M5B,47,16,63
327,M5C,91,20,111
328,M5E,92,22,114
329,M5G,66,53,119
330,M5H,174,16,190
331,M5J,125,42,167
332,M5K,5,2,7
333,M5L,3,,3
334,M5M,396,134,530
335,M5N,190,68,258
336,M5P,259,87,346
337,M5R,258,86,344
338,M5S,77,37,114
339,M5T,67,25,92
340,M5V,516,95,611
341,M5W,2,13,15
342,M5X,5,2,7
343,M6A,90,33,123
344,M6B,144,42,186
345,M6C,210,66,276
346,M6E,114,45,159
347,M6G,162,87,249
348,M6H,138,71,209
349,M6J,193,65,258
350,M6K,185,58,243
351,M6L,52,19,71
352,M6M,82,41,123
353,M6N,106,53,159
354,M6P,180,94,274
355,M6R,141,77,218
356,M6S,319,154,473
357,M6Y,1,,1
358,M6Z,1,,1
359,M7A,5,,5
360,M8A,1,1,2
361,M8B,2,,2
362,M8V,333,102,435
363,M8W,188,47,235
364,M8X,183,67,250
365,M8Y,206,68,274
366,M8Z,333,138,471
367,M9A,331,135,466
368,M9B,306,95,401
369,M9C,192,84,276
370,M9L,61,18,79
371,M9M,57,15,72
372,M9N,81,29,110
373,M9P,92,21,113
374,M9R,98,31,129
375,M9V,168,50,218
376,M9W,1365,82,1447
377,M9Y,1,,1
378,N0A,124,60,184
379,N0B,831,350,1181
380,N0C,74,33,107
381,N0E,118,76,194
382,N0G,257,133,390
383,N0H,314,172,486
384,N0J,135,76,211
385,N0K,49,44,93
386,N0L,259,129,388
387,N0M,264,137,401
388,N0N,101,81,182
389,N0P,123,71,194
390,N0R,243,175,418
391,N1A,32,13,45
392,N1C,26,25,51
393,N1E,254,115,369
394,N1G,234,94,328
395,N1H,256,109,365
396,N1J,1,,1
397,N1K,66,26,92
398,N1L,203,73,276
399,N1M,95,53,148
400,N1P,45,13,58
401,N1R,192,59,251
402,N1S,132,57,189
403,N1T,151,42,193
404,N2A,210,89,299
405,N2B,107,41,148
406,N2C,84,33,117
407,N2E,155,69,224
408,N2G,109,42,151
409,N2H,142,75,217
410,N2J,169,57,226
411,N2K,334,118,452
412,N2L,253,96,349
413,N2M,156,67,223
414,N2N,122,85,207
415,N2P,268,98,366
416,N2R,213,58,271
417,N2S,1,,1
418,N2T,209,96,305
419,N2V,227,100,327
420,N2Z,85,41,126
421,N3A,155,77,232
422,N3B,65,35,100
423,N3C,219,81,300
424,N3E,43,7,50
425,N3G,1,,1
426,N3H,132,46,178
427,N3K,1,,1
428,N3L,136,62,198
429,N3M,1,,1
430,N3P,24,25,49
431,N3R,122,58,180
432,N3S,82,35,117
433,N3T,250,106,356
434,N3V,17,2,19
435,N3W,91,39,130
436,N3Y,65,32,97
437,N4B,13,10,23
438,N4G,97,45,142
439,N4K,120,74,194
440,N4L,31,22,53
441,N4N,33,17,50
442,N4S,128,60,188
443,N4T,101,38,139
444,N4V,21,9,30
445,N4W,63,30,93
446,N4X,48,30,78
447,N4Z,12,12,24
448,N5A,153,90,243
449,N5C,71,24,95
450,N5H,34,18,52
451,N5K,1,,1
452,N5L,21,8,29
453,N5N,2,,2
454,N5P,61,44,105
455,N5R,90,58,148
456,N5V,51,50,101
457,N5W,58,26,84
458,N5X,203,99,302
459,N5Y,58,38,96
460,N5Z,36,38,74
461,N6A,67,46,113
462,N6B,29,23,52
463,N6C,108,75,183
464,N6E,27,52,79
465,N6G,279,151,430
466,N6H,162,96,258
467,N6J,65,45,110
468,N6K,223,135,358
469,N6L,44,18,62
470,N6M,34,16,50
471,N6N,9,1,10
472,N6P,82,56,138
473,N6X,1,,1
474,N7A,56,37,93
475,N7G,63,32,95
476,N7L,50,31,81
477,N7M,79,36,115
478,N7S,73,47,120
479,N7T,47,27,74
480,N7V,28,16,44
481,N7W,12,10,22
482,N7X,14,6,20
483,N8A,17,14,31
484,N8H,44,48,92
485,N8M,39,34,73
486,N8N,111,77,188
487,N8P,56,37,93
488,N8R,23,30,53
489,N8S,41,38,79
490,N8T,21,19,40
491,N8W,49,47,96
492,N8X,46,27,73
493,N8Y,37,25,62
494,N9A,37,66,103
495,N9B,38,22,60
496,N9C,10,13,23
497,N9E,67,45,112
498,N9G,81,53,134
499,N9H,90,58,148
500,N9J,112,61,173
501,N9K,19,8,27
502,N9T,1,,1
503,N9V,77,59,136
504,N9Y,75,41,116
505,P0A,50,25,75
506,P0B,58,23,81
507,P0C,29,10,39
508,P0E,14,9,23
509,P0G,7,11,18
510,P0H,62,57,119
511,P0J,32,23,55
512,P0K,8,5,13
513,P0L,15,22,37
514,P0M,87,78,165
515,P0N,2,6,8
516,P0P,21,34,55
517,P0R,12,11,23
518,P0S,13,7,20
519,P0T,31,38,69
520,P0V,7,8,15
521,P0W,4,1,5
522,P0X,10,9,19
523,P1A,21,23,44
524,P1B,62,66,128
525,P1C,22,8,30
526,P1H,76,40,116
527,P1L,79,44,123
528,P1P,36,23,59
529,P2A,51,20,71
530,P2B,14,13,27
531,P2N,3,3,6
532,P3A,52,50,102
533,P3B,34,34,68
534,P3C,12,18,30
535,P3E,138,83,221
536,P3G,36,25,61
537,P3L,12,19,31
538,P3N,14,17,31
539,P3P,70,103,173
540,P3S,1,,1
541,P3Y,19,16,35
542,P4N,18,19,37
543,P4P,3,7,10
544,P4R,7,8,15
545,P5A,3,5,8
546,P5E,3,4,7
547,P5N,11,13,24
548,P6A,44,47,91
549,P6B,48,26,74
550,P6C,11,11,22
551,P7A,41,53,94
552,P7B,40,51,91
553,P7C,27,29,56
554,P7E,13,23,36
555,P7G,31,30,61
556,P7J,11,15,26
557,P7K,7,12,19
558,P7L,3,3,6
559,P8A,1,,1
560,P8N,7,11,18
561,P8T,4,3,7
562,P9A,5,11,16
563,P9N,18,19,37
