_id,FSA,BEV,PHEV,TotalEV
1,K0A,674,313,987
2,K0B,65,54,119
3,K0C,149,93,242
4,K0E,105,68,173
5,K0G,196,98,294
6,K0H,178,115,293
7,K0J,70,60,130
8,K0K,357,205,562
9,K0L,211,107,318
10,K0M,127,56,183
11,K1A,28,56,84
12,K1B,65,45,110
13,K1C,174,135,309
14,K1E,51,30,81
15,K1G,129,106,235
16,K1H,108,84,192
17,K1J,135,106,241
18,K1K,126,96,222
19,K1L,40,47,87
20,K1M,72,56,128
21,K1N,83,68,151
22,K1P,21,14,35
23,K1R,66,40,106
24,K1S,266,203,469
25,K1T,188,96,284
26,K1V,237,176,413
27,K1W,105,49,154
28,K1X,42,9,51
29,K1Y,184,89,273
30,K1Z,114,66,180
31,K2A,178,83,261
32,K2B,102,76,178
33,K2C,118,77,195
34,K2E,107,56,163
35,K2G,249,133,382
36,K2H,136,95,231
37,K2J,471,237,708
38,K2K,203,109,312
39,K2L,69,53,122
40,K2M,201,104,305
41,K2P,78,36,114
42,K2R,18,9,27
43,K2S,303,141,444
44,K2T,107,48,155
45,K2V,108,40,148
46,K2W,101,34,135
47,K3M,,1,1
48,K4A,326,178,504
49,K4B,42,24,66
50,K4C,60,20,80
51,K4K,122,57,179
52,K4M,224,69,293
53,K4P,120,45,165
54,K4R,48,33,81
55,K5M,1,,1
56,K6A,43,22,65
57,K6G,,1,1
58,K6H,67,45,112
59,K6J,24,22,46
60,K6K,6,3,9
61,K6T,2,,2
62,K6V,61,47,108
63,K7A,32,19,51
64,K7C,94,42,136
65,K7G,25,14,39
66,K7H,73,51,124
67,K7K,110,65,175
68,K7L,142,95,237
69,K7M,177,111,288
70,K7N,22,12,34
71,K7P,123,51,174
72,K7R,39,21,60
73,K7S,49,15,64
74,K7V,29,14,43
75,K8A,39,30,69
76,K8H,42,33,75
77,K8J,1,,1
78,K8K,,1,1
79,K8N,84,51,135
80,K8P,32,32,64
81,K8R,10,6,16
82,K8V,69,51,120
83,K9A,115,72,187
84,K9H,66,54,120
85,K9J,125,87,212
86,K9K,60,27,87
87,K9L,29,18,47
88,K9V,53,26,79
89,L0A,96,34,130
90,L0B,79,40,119
91,L0C,57,15,72
92,L0E,71,42,113
93,L0G,346,92,438
94,L0H,10,5,15
95,L0J,89,18,107
96,L0K,172,69,241
97,L0L,311,95,406
98,L0M,166,54,220
99,L0N,13,7,20
100,L0P,132,27,159
101,L0R,526,235,761
102,L0S,381,206,587
103,L0T,1,,1
104,L1A,68,34,102
105,L1B,67,26,93
106,L1C,240,93,333
107,L1E,113,58,171
108,L1G,104,60,164
109,L1H,145,40,185
110,L1J,113,60,173
111,L1K,230,75,305
112,L1L,106,29,135
113,L1M,167,61,228
114,L1N,257,122,379
115,L1P,224,59,283
116,L1R,249,68,317
117,L1S,254,97,351
118,L1T,334,99,433
119,L1V,360,106,466
120,L1W,125,38,163
121,L1X,207,44,251
122,L1Y,28,11,39
123,L1Z,273,95,368
124,L2A,53,25,78
125,L2E,42,27,69
126,L2G,108,50,158
127,L2H,133,57,190
128,L2J,54,25,79
129,L2M,60,42,102
130,L2N,129,61,190
131,L2P,47,22,69
132,L2R,117,127,244
133,L2S,70,40,110
134,L2T,39,19,58
135,L2V,81,24,105
136,L2W,10,4,14
137,L2Y,,1,1
138,L3A,1,,1
139,L3B,71,28,99
140,L3C,96,48,144
141,L3E,1,,1
142,L3J,48,32,80
143,L3K,50,27,77
144,L3L,9,,9
145,L3M,248,125,373
146,L3N,1,,1
147,L3P,357,115,472
148,L3R,795,229,1024
149,L3S,321,89,410
150,L3T,478,142,620
151,L3V,150,89,239
152,L3X,475,129,604
153,L3Y,281,145,426
154,L3Z,340,88,428
155,L4A,635,179,814
156,L4B,716,169,885
157,L4C,734,195,929
158,L4E,755,187,942
159,L4G,813,236,1049
160,L4H,881,180,1061
161,L4J,705,195,900
162,L4K,398,89,487
163,L4L,440,98,538
164,L4M,203,82,285
165,L4N,509,158,667
166,L4P,173,53,226
167,L4R,55,25,80
168,L4S,493,142,635
169,L4T,113,40,153
170,L4V,37,14,51
171,L4W,343,96,439
172,L4X,66,15,81
173,L4Y,128,47,175
174,L4Z,214,91,305
175,L5A,120,37,157
176,L5B,297,122,419
177,L5C,186,66,252
178,L5E,83,30,113
179,L5G,225,94,319
180,L5H,292,88,380
181,L5J,199,86,285
182,L5K,103,31,134
183,L5L,313,118,431
184,L5M,881,250,1131
185,L5N,520,191,711
186,L5P,3,8,11
187,L5R,293,89,382
188,L5S,50,12,62
189,L5T,85,24,109
190,L5V,346,86,432
191,L5W,244,50,294
192,L5X,1,,1
193,L6A,917,180,1097
194,L6B,476,85,561
195,L6C,1010,234,1244
196,L6E,411,106,517
197,L6G,83,22,105
198,L6H,1027,357,1384
199,L6J,534,181,715
200,L6K,193,102,295
