_id,FSA,BEV,PHEV,TotalEV
201,L6L,504,153,657
202,L6M,1010,289,1299
203,L6P,881,142,1023
204,L6R,502,130,632
205,L6S,212,101,313
206,L6T,153,100,253
207,L6V,135,53,188
208,L6W,110,43,153
209,L6X,516,116,632
210,L6Y,715,161,876
211,L6Z,149,65,214
212,L7A,626,170,796
213,L7B,385,71,456
214,L7C,507,114,621
215,L7E,293,91,384
216,L7G,385,163,548
217,L7H,2,,2
218,L7J,99,41,140
219,L7K,104,25,129
220,L7L,441,213,654
221,L7M,494,192,686
222,L7N,137,57,194
223,L7P,257,116,373
224,L7R,153,96,249
225,L7S,69,47,116
226,L7T,146,76,222
227,L8B,230,90,320
228,L8E,247,110,357
229,L8G,96,38,134
230,L8H,55,30,85
231,L8J,184,64,248
232,L8K,75,58,133
233,L8L,63,33,96
234,L8M,37,33,70
235,L8N,46,24,70
236,L8P,92,75,167
237,L8R,24,15,39
238,L8S,55,36,91
239,L8T,44,32,76
240,L8V,30,31,61
241,L8W,90,38,128
242,L9A,86,36,122
243,L9B,114,72,186
244,L9C,163,97,260
245,L9E,274,34,308
246,L9G,256,119,375
247,L9H,278,162,440
248,L9J,34,5,39
249,L9K,200,62,262
250,L9L,83,26,109
251,L9M,46,30,76
252,L9N,298,61,359
253,L9P,119,67,186
254,L9R,138,40,178
255,L9S,239,66,305
256,L9T,947,263,1210
257,L9V,82,41,123
258,L9W,296,118,414
259,L9X,122,44,166
260,L9Y,191,80,271
261,L9Z,95,41,136
262,M1B,249,125,374
263,M1C,262,88,350
264,M1E,147,73,220
265,M1G,61,31,92
266,M1H,96,33,129
267,M1J,59,20,79
268,M1K,82,28,110
269,M1L,92,38,130
270,M1M,111,48,159
271,M1N,113,61,174
272,M1P,127,37,164
273,M1R,97,37,134
274,M1S,155,62,217
275,M1T,102,43,145
276,M1V,169,51,220
277,M1W,141,49,190
278,M1X,97,19,116
279,M2B,1,,1
280,M2H,134,49,183
281,M2J,336,112,448
282,M2K,194,67,261
283,M2L,196,59,255
284,M2M,209,71,280
285,M2N,571,218,789
286,M2P,147,24,171
287,M2R,118,69,187
288,M3A,352,49,401
289,M3B,275,68,343
290,M3C,157,42,199
291,M3H,222,77,299
292,M3J,114,33,147
293,M3K,48,12,60
294,M3L,39,7,46
295,M3M,29,16,45
296,M3N,44,13,57
297,M3R,,1,1
298,M3Y,1,,1
299,M4A,37,15,52
300,M4B,85,28,113
301,M4C,131,84,215
302,M4E,171,97,268
303,M4G,267,94,361
304,M4H,19,11,30
305,M4J,150,70,220
306,M4K,158,80,238
307,M4L,196,99,295
308,M4M,171,83,254
309,M4N,272,90,362
310,M4P,137,46,183
311,M4R,132,64,196
312,M4S,226,45,271
313,M4T,123,47,170
314,M4V,209,65,274
315,M4W,224,75,299
316,M4X,38,6,44
317,M4Y,113,31,144
318,M5A,246,72,318
319,M5B,43,17,60
320,M5C,44,10,54
321,M5E,78,21,99
322,M5G,60,45,105
323,M5H,101,19,120
324,M5J,114,37,151
325,M5K,6,2,8
326,M5L,2,,2
327,M5M,348,126,474
328,M5N,148,62,210
329,M5P,240,79,319
330,M5R,233,82,315
331,M5S,77,29,106
332,M5T,66,24,90
333,M5V,439,85,524
334,M5W,1,,1
335,M5X,4,2,6
336,M6A,68,27,95
337,M6B,131,47,178
338,M6C,184,60,244
339,M6E,100,31,131
340,M6G,143,71,214
341,M6H,123,59,182
342,M6J,173,55,228
343,M6K,170,54,224
344,M6L,40,18,58
345,M6M,59,34,93
346,M6N,72,45,117
347,M6P,147,92,239
348,M6R,116,75,191
349,M6S,279,141,420
350,M6Y,1,,1
351,M6Z,1,,1
352,M8A,1,1,2
353,M8B,3,,3
354,M8V,273,86,359
355,M8W,148,46,194
356,M8X,162,58,220
357,M8Y,186,66,252
358,M8Z,290,125,415
359,M9A,292,120,412
360,M9B,249,78,327
361,M9C,160,70,230
362,M9L,57,16,73
363,M9M,50,9,59
364,M9N,70,27,97
365,M9P,73,20,93
366,M9R,73,26,99
367,M9V,131,43,174
368,M9W,976,64,1040
369,N0A,105,60,165
370,N0B,709,307,1016
371,N0C,70,30,100
372,N0E,98,60,158
373,N0G,200,116,316
374,N0H,273,140,413
375,N0J,103,56,159
376,N0K,41,33,74
377,N0L,214,110,324
378,N0M,220,112,332
379,N0N,83,68,151
380,N0P,105,60,165
381,N0R,203,155,358
382,N1A,28,9,37
383,N1C,22,22,44
384,N1E,215,105,320
385,N1G,202,87,289
386,N1H,211,94,305
387,N1K,56,21,77
388,N1L,180,66,246
389,N1M,70,47,117
390,N1P,38,16,54
391,N1R,138,66,204
392,N1S,113,50,163
393,N1T,114,38,152
394,N2A,179,75,254
395,N2B,86,36,122
396,N2C,64,24,88
397,N2E,126,53,179
398,N2G,81,36,117
399,N2H,126,63,189
400,N2J,144,44,188
401,N2K,279,99,378
402,N2L,221,89,310
403,N2M,137,60,197
404,N2N,92,66,158
405,N2P,225,77,302
406,N2R,163,44,207
407,N2S,1,,1
408,N2T,166,82,248
409,N2V,166,80,246
410,N2Z,66,37,103
411,N3A,134,72,206
412,N3B,59,27,86
413,N3C,190,77,267
414,N3E,32,7,39
415,N3G,1,,1
416,N3H,100,35,135
417,N3K,1,,1
418,N3L,98,60,158
419,N3M,1,,1
420,N3P,17,18,35
421,N3R,98,59,157
422,N3S,72,31,103
423,N3T,197,89,286
424,N3V,12,3,15
425,N3W,81,28,109
426,N3Y,58,29,87
427,N4B,12,6,18
428,N4G,67,39,106
429,N4K,104,67,171
430,N4L,24,19,43
431,N4N,32,13,45
432,N4S,102,54,156
433,N4T,67,34,101
434,N4V,16,6,22
435,N4W,46,20,66
436,N4X,33,30,63
437,N4Z,10,9,19
438,N5A,117,74,191
439,N5C,54,18,72
440,N5H,28,17,45
441,N5L,16,8,24
442,N5N,1,,1
443,N5P,51,34,85
444,N5R,69,55,124
445,N5V,53,36,89
446,N5W,48,23,71
447,N5X,163,88,251
448,N5Y,39,31,70
449,N5Z,32,35,67
450,N6A,61,37,98
451,N6B,23,23,46
452,N6C,92,72,164
453,N6E,22,54,76
454,N6G,219,145,364
455,N6H,137,80,217
456,N6J,49,37,86
457,N6K,193,123,316
458,N6L,31,16,47
459,N6M,33,14,47
460,N6N,9,,9
461,N6P,74,48,122
462,N7A,47,31,78
463,N7G,51,29,80
464,N7L,41,28,69
465,N7M,60,34,94
466,N7S,50,38,88
467,N7T,34,20,54
468,N7V,26,10,36
469,N7W,10,6,16
470,N7X,13,5,18
471,N8A,16,11,27
472,N8H,43,41,84
473,N8M,24,26,50
474,N8N,105,65,170
475,N8P,47,37,84
476,N8R,22,26,48
477,N8S,37,33,70
478,N8T,18,15,33
479,N8W,47,35,82
480,N8X,34,20,54
481,N8Y,30,22,52
482,N9A,24,51,75
483,N9B,30,19,49
484,N9C,7,15,22
485,N9E,51,39,90
486,N9G,62,38,100
487,N9H,65,49,114
488,N9J,94,57,151
489,N9K,18,8,26
490,N9T,1,,1
491,N9V,63,43,106
492,N9Y,63,34,97
493,P0A,45,21,66
494,P0B,49,17,66
495,P0C,29,11,40
496,P0E,12,9,21
497,P0G,6,5,11
498,P0H,54,50,104
499,P0J,26,18,44
500,P0K,5,5,10
501,P0L,12,20,32
502,P0M,71,71,142
503,P0N,2,5,7
504,P0P,21,22,43
505,P0R,10,6,16
506,P0S,13,4,17
507,P0T,24,32,56
508,P0V,6,7,13
509,P0W,3,1,4
510,P0X,11,8,19
511,P1A,17,15,32
512,P1B,52,47,99
513,P1C,19,9,28
514,P1H,66,32,98
515,P1L,63,34,97
516,P1P,30,17,47
517,P2A,47,13,60
518,P2B,13,12,25
519,P2N,1,2,3
520,P3A,43,34,77
521,P3B,28,23,51
522,P3C,12,17,29
523,P3E,112,74,186
524,P3G,33,22,55
525,P3L,8,9,17
526,P3N,11,15,26
527,P3P,43,42,85
528,P3S,1,,1
529,P3Y,16,11,27
530,P4N,13,19,32
531,P4P,2,2,4
532,P4R,8,8,16
533,P5A,2,4,6
534,P5E,2,4,6
535,P5N,9,11,20
536,P6A,40,28,68
537,P6B,31,14,45
538,P6C,10,8,18
539,P7A,28,37,65
540,P7B,36,33,69
541,P7C,20,17,37
542,P7E,11,21,32
543,P7G,29,27,56
544,P7J,11,9,20
545,P7K,7,8,15
546,P7L,3,2,5
547,P8N,6,10,16
548,P8T,3,5,8
549,P9A,4,6,10
550,P9N,18,9,27
