FSA,WtdEmploymentIncome,WtdPensionIncome,WtdInvestmentIncome,WtdSelfEmpIncome,WtdBenefitIncome,WtdOtherIncome
L6X,778316768,13430974,14124686,4629500,25048620,41935680
L6Y,966226146,22826445,22980797,6110584,30368586,55053345
L6Z,346242446,17517794,10923670,2104595,10473318,18778957
L7A,1096087195,8054684,12395141,5283114,30939592,57573211
L7B,234728434,10906650,66221454,4125855,2088858,14640237
L7C,351971121,13524079,27903774,3488955,7052678,19582929
L7E,427661935,21663559,28906156,2739361,7962527,17721861
L7G,658968017,37366380,33834403,3810474,8621344,26854578
L7J,156494432,12128125,6805406,833236,3419181,5804921
L7K,89312669,10529666,13506814,1121262,1542287,6355722
L7L,625502903,45795065,45425774,4657570,7064880,26692611
L7M,644090092,46966297,46124959,4428563,7460382,35888531
L7N,132136407,26519858,24024122,1671025,2278505,9363474
L7P,330420008,41911604,35062314,2820708,5620636,16548624
L7R,165714395,26723074,20483588,1724412,4135088,9296456
L7S,88410986,31093912,12590341,877706,2950804,6520286
L7T,155495879,41452299,56499710,1984306,3404927,10323325
L8B,279563613,15002520,11789531,1807828,3894897,10873052
L8E,341654076,39854122,13969698,2135400,15505571,18395980
L8G,139440111,46140692,10113292,812258,7847303,9014793
L8H,172784032,16505702,1262177,512655,19974587,10667375
L8J,284176829,17310799,6908857,1834585,8331984,13510386
L8K,220300824,38792352,4603937,1015000,16015553,11501764
L8L,159207517,12192784,1332000,952765,28571810,12961218
L8M,81606322,7879230,1514851,758440,9890000,5400685
L8N,93400047,6937244,1667876,746635,11684054,6286748
L8P,174958075,25311803,17375432,3303939,10049682,12000838
L8R,58972154,6256343,1028811,632936,9504661,4646962
L8S,103272167,13316926,8271306,1163445,3397024,6457132
L8T,143579558,28429027,4405627,480048,7739102,7527830
L8V,134935908,28131901,2107029,358034,11910929,6720485
L8W,223978200,19741652,3389571,757724,11613707,12495564
L9A,190706848,24982188,3632496,937967,12528186,9996006
L9B,200312057,31345068,9350049,1124105,7148496,11418386
L9C,311944099,48236596,11908440,1847212,14929544,18319354
L9E,151852074,1168536,8207099,1462932,2757877,7886406
L9G,271243692,43971199,51927342,5042177,2466257,15960868
L9H,275063161,69134596,44602161,3580709,4453647,17476619
L9J,9788073,2242099,440515,121282,476763,895511
L9K,153972087,13035931,16377651,2000521,2354762,9620865
L9L,113191677,34662586,16647440,1318913,2672278,9421435
L9M,71618688,38606475,7544280,790020,5672640,6312116
L9N,195239458,8788082,7491666,2403542,5072952,12797571
L9P,174760929,25761512,23471538,2220073,2616552,10871336
L9R,197368792,36257361,10879339,1332033,7011471,11631696
L9S,262357957,28950648,9967717,1972620,10973007,15687810
L9T,1330042603,29524101,36039188,7599201,22656155,52288653
L9V,147183721,12896480,6582888,1273454,5239521,7578488
L9W,501999449,41914744,25799254,3554489,13354418,22015799
L9X,135019049,13383058,17984786,1994577,1610971,6264005
L9Y,154660518,68703831,41877462,4594164,6674241,17991056
L9Z,94195029,75649787,8147140,1285495,7910536,10580891
M1B,451458502,30083112,5333002,1844723,36431555,39821536
M1C,351450605,42405306,21126127,2283675,8168299,22819254
M1E,320711906,36048570,9583560,1675132,24584990,30034800
M1G,180607033,12464595,2534819,1009086,18452797,18453488
M1H,173929787,11596295,4034965,1029249,10677672,14396672
M1J,222025462,14220608,3311019,1083551,23293769,23346378
M1K,308055960,19952863,4429105,1376410,32281662,29633923
M1L,242969791,10630015,5002536,1708010,19106586,23347415
M1M,175391100,20157388,13005930,1940217,9212792,16547324
M1N,226420452,21672497,15094604,3492632,6893864,14566814
M1P,294316406,19829106,6945455,1513577,23160722,24231425
M1R,200852013,17051320,5450723,1817702,15543988,19114384
M1S,214668872,22501933,18690958,2037085,16215544,25641169
M1T,190167563,25474698,14267755,1668770,17830466,20145023
M1V,235973625,29124287,17845397,2531861,25493322,37097238
M1W,259326896,37849469,24870612,2470185,20582128,29333285
M1X,120314299,3627263,2043723,601743,7931017,11065140
M2H,150713415,23353690,27883821,1816533,6833708,15250027
M2J,516654837,30059098,33446262,4985681,19057874,36223627
M2K,214275649,20899015,49360724,3826299,4025071,20682973
M2L,144423314,14358976,105590371,4357980,1153992,15623023
M2M,227205629,20986916,40012354,4284716,9850638,23050496
M2N,757736765,34295791,116212281,11557784,12831293,48190716
M2P,107244219,8502044,76855554,2516231,439351,10399685
M2R,268898165,21596529,18688756,4769101,21093885,28541371
M3A,278635983,20690293,18590982,2980429,13421701,20804993
M3B,135797017,22798524,122847199,4739849,896959,16773157
M3C,250137813,29010789,37948810,3442808,18014585,26669029
M3H,375415483,18760817,60114937,9470369,11925755,25935184
M3J,208798939,7912946,5427777,1304824,16709876,19040513
M3K,73350048,4769351,5811749,633681,3441460,4342282
M3L,112856108,7959228,1205665,668088,15848584,11547230
M3M,165935426,11885271,3472123,950554,16154766,13216601
M3N,186679653,10803710,1582054,905781,42209748,25681478
M4A,97674695,10365775,4312308,844071,7861314,7861837
M4B,145496685,13390335,7140880,1789983,8394992,12374931
M4C,428795367,20490034,13390059,4779180,19582718,25052977
M4E,376731545,20148348,39986590,9566522,4322408,18686463
M4G,355485330,23596902,85829095,9238345,1286887,20433570
M4H,64422534,4528148,985689,1352233,11212400,14830200
M4J,371300682,21129713,18633085,6226007,12108068,18692430
M4K,354212082,22805242,34882559,11468177,8258582,20676776
M4L,411002787,16052956,31183904,8967607,8849749,19887475
M4M,330626467,6952086,18076316,6378549,9208206,13874686
M4N,407022919,25325647,207298558,8210876,888121,24227326
M4P,333683196,11468594,38094579,5210661,5221521,14612614
M4R,227181618,9310228,53817180,7272768,906867,12114017
M4S,474259388,19129821,50391252,7527483,4241595,17876143
M4T,218792543,25463551,123747053,7185549,619367,19126466
M4V,369697506,35767825,193833713,10852070,1455071,23816702
M4W,337146556,26154272,194359311,11413360,774904,27285731
M4X,172222308,6095396,6101206,2510953,14262887,11264535
M4Y,431941607,10834942,27698850,4715440,6928254,17658454
M5A,541453684,12653735,31100179,8230162,24054129,28699502
M5B,176193300,3549632,7575143,2098486,4985220,7096909
M5C,101826167,2815181,34452471,2256106,543082,5657441
M5E,250864201,6918829,89058624,2626718,1279344,8741422
M5G,35573663,23835695,15897944,517429,33432054,2701538
M5H,139984807,1321471,35379079,1789079,165126,3510454
M5J,344845155,7402717,49423258,3287653,1170023,9976555
M5K,4764977,548093,7156953,655605,11442,395907
M5L,1101250,57000,1058250,0,0,29750
M5M,445003534,21426781,133933915,17521316,1711326,27880038
M5N,240574656,12770461,84700052,12866971,1910694,17691604
M5P,336528966,24931163,163810741,12107495,1593063,23420449
M5R,383814476,33245476,185825906,14952138,3477479,30131214
M5S,186820434,11383933,54724168,3787737,1994484,12154228
M5T,144233153,5706836,10785757,2223016,10472721,10079797
M5V,1234671173,3893654,83782304,10456333,7328985,28445053
M5W,1103600,228000,456800,28080,36240,73400
M5X,1277500,1077000,7624583,285583,0,0
M6A,166250845,9809391,17735618,1545415,11280162,13672212
M6B,249313539,18497907,37010439,6547911,10968143,17002058
M6C,279040043,15020789,41950470,10479462,6964906,14552210
M6E,291928674,17970173,8459217,3051212,23359990,16435601
M6G,331358377,19604916,39108359,10413836,8394848,17531651
M6H,423706893,17636825,25829938,7786078,19161159,20678555
M6J,457515273,8733150,30455800,9682676,9911667,17085673
M6K,455082291,6019883,11102326,5703650,22843076,18350755
M6L,122906521,13802226,6694573,897377,12810035,10983502
M6M,265841168,16267513,3583045,1885701,32054790,21913737
M6N,272743622,19274684,4778779,2656119,28173725,18619102
M6P,495713530,20009343,30698653,8565163,11180047,20204544
M6R,269999182,7987092,27104044,9292299,3929433,11795366
M6S,496753225,28621455,58385530,10070890,5102924,21954579
M8V,445311588,28447905,37195751,5978340,15326173,25500338
M8W,240016755,15368175,13540723,2294947,7182466,10583944
M8X,171111779,27337433,74137333,6144118,546064,17322044
M8Y,273507728,13481985,21166016,5317479,5478710,14261971
M8Z,248636856,13549892,19740166,2877789,3719074,9450731
M9A,445936739,39768114,109548693,10301486,7967424,29094426
M9B,375746684,28789043,39229907,4536715,7191730,21044924
M9C,347292198,45317962,26086349,3385207,10532796,20944063
M9L,69091679,6690098,2781783,433824,8386100,6098857
M9M,161383918,7721182,2850334,942814,15622451,14070301
M9N,167778535,10802668,2587356,1566632,19719200,16050085
M9P,151092613,26692517,18960621,2002502,6840263,11524637
M9R,229505138,27150553,10235570,1957778,17323268,20119513
M9V,342725939,15491888,3792835,1783285,39527577,33122290
M9W,306170972,19296328,13295515,1739848,22960678,24765716
N0A,198398713,77087926,14737689,1833357,11789763,16360770
N0B,885461852,92102650,127455851,14834341,10666222,34808661
N0C,95967395,21615039,9505474,2196602,5042873,5468048
N0E,254590107,53066628,26997310,3520145,9229095,12151927
N0G,551556516,94363450,53554154,16055948,21819770,23154749
N0H,318042895,136237728,46726579,5939790,12095477,29099764
N0J,261376994,27663149,21878436,4177511,7779680,10054512
N0K,178200815,19106604,23348641,5248755,4186895,5602169
N0L,412385223,64587426,30498367,5641564,12170619,21171391
N0M,480221341,107835637,70630895,9738470,13988191,24350153
N0N,332813401,84950207,25866360,2821855,10312724,17422183
N0P,324216738,81518487,26741877,6747995,17407482,17400827
N0R,473941421,60534455,21212589,3143646,15151800,23953667
N1A,71263559,20576304,4115876,866052,4624002,3900294
N1C,52641045,3480300,3964697,281879,497107,2630953
N1E,447051904,32491819,17777472,2920248,12830342,15582172
N1G,261149897,37111289,29847630,1757899,5012704,14463180
N1H,346978466,43949376,24863651,2852937,15614314,16945313
N1K,115914862,5038672,2855728,519098,4483117,3987655
N1L,213371864,7118707,14590862,1293155,2738376,8033802
N1M,161239929,23640300,8978264,1050164,3973697,6217691
N1P,98611746,2062276,971644,351691,2507134,2607213
N1R,307652047,39324070,11860608,1270010,22294514,14340385
N1S,184265667,22997479,8488375,1157417,6339904,8106706
N1T,211017737,8725461,8886053,1000268,5101812,9972794
N2A,305016056,25639826,14521313,2079570,10320856,12305619
N2B,143320233,18402739,5224917,714559,6374693,6500862
N2C,132892658,11142673,3907700,534409,9725768,6245114
N2E,386107414,16744870,4800087,1776388,16097063,14577807
N2G,116205603,11463770,4391645,956398,7106224,5182177
N2H,208461928,16809689,7600877,1346150,7712813,7411325
N2J,166498042,23694916,17070647,1626030,4211328,7619871
N2K,398018288,18914860,43107393,2868155,4656046,14382789
