FSA,WtdEmploymentIncome,WtdPensionIncome,WtdInvestmentIncome,WtdSelfEmpIncome,WtdBenefitIncome,WtdOtherIncome
K2L,196672208,28895440,6741376,876498,3868661,7665976
K2M,430318630,21720669,13601438,1854198,3902566,13073512
K2P,290244936,14004524,13243818,1854237,4634955,6374380
K2R,15926328,2589328,9097852,547533,75869,1007965
K2S,551698509,43572430,25917416,3155497,4005835,17688460
K2T,184058554,5397761,10997495,808056,948163,5126522
K2V,126659956,2109867,2532829,647957,1385198,3331975
K2W,148190387,4040645,9561367,638528,775919,4704378
K4A,838338659,64333697,19236345,3850631,9634440,25341505
K4B,49926233,9293348,5267105,669759,681192,1655568
K4C,46738748,10713494,8610596,750421,578229,2299834
K4K,158260508,34712590,5647546,769352,3668534,5267071
K4M,187163650,24330782,31743623,2086130,1151881,8926353
K4P,147069494,15661304,12446416,829809,1191087,4645651
K4R,105422656,13835781,3699351,522602,1216999,2734864
K6A,53957761,28924452,4690439,335609,9401543,3757215
K6H,150571027,55185018,6608292,487157,18431039,10659012
K6J,90134349,30047295,2673069,318740,10229485,5376931
K6K,24793308,6211813,1187523,93129,1178602,1071387
K6T,6123771,1316200,84419,54743,132800,255390
K6V,153819047,70517126,13029485,948275,10733678,12505664
K7A,107795483,34468606,2832561,470898,7499980,5897180
K7C,184424000,35463437,8016626,1391509,4414055,7664196
K7G,52968488,23322760,8053265,518955,2404227,3875292
K7H,99879201,51549053,10764191,917450,4023439,6573198
K7K,230441083,33961647,8191870,1716351,15689184,12377733
K7L,124143798,46437959,35712624,2610447,2630061,9898713
K7M,330081229,99973385,23373133,2631111,13813050,20037285
K7N,75114307,12541081,1123304,220248,2748962,2338012
K7P,246900349,37579955,12503065,2099002,4663397,9974082
K7R,86440336,33356838,4383621,540284,6023383,4893643
K7S,97201620,31717592,4678655,563873,4375184,5178601
K7V,75923048,31645259,3992542,575133,6331415,4310665
K8A,170391056,53785378,8008491,1124110,10902320,8264746
K8B,6260870,688522,184449,21710,42783,136464
K8H,229228671,12820545,1226799,378426,2100439,4011699
K8N,199577310,66009835,15715225,1950360,10686641,12267741
K8P,123026385,34818427,4276957,752536,12376710,7717173
K8R,16010853,3620000,497098,33357,447098,640699
K8V,188543466,53062371,5059049,728431,11792648,8713163
K9A,155033648,79206303,18416086,1495482,6858451,14917577
K9H,144316575,46636531,9675053,1392117,13411275,11901767
K9J,257980773,72843588,19488421,2237354,18673417,18415909
K9K,103115085,29912291,8626168,878971,2649671,6094983
K9L,55589288,15569102,3756580,416104,1874211,3586290
K9V,142351822,64933946,10914596,1119072,11737965,12051564
