FSA,Urban,EmploymentIncomePP,SelfEmpIncomePP,PensionIncomePP,InvestmentIncomePP,BenefitIncomePP,OtherIncomePP,TFSAAmountPP,EVGradient
L1Y,Y,67963,21370,250,30438,8559,11321,,
L1Z,Y,57981,10536,1077,9111,10773,9816,,
L2A,Y,39928,12134,3653,8613,9311,9268,,
L2E,Y,31484,9820,4176,7323,10319,9091,,
L2G,Y,32476,10958,6384,8174,10554,9916,,
L2H,Y,40950,15829,4402,9737,11049,10154,,
L2J,Y,40239,13352,3999,11418,9818,9871,,
L2M,Y,39279,13648,7320,6778,9324,9278,,
L2N,Y,44386,18976,8137,12718,8761,9560,,
L2P,Y,37344,10033,2572,5203,9563,9784,,
L2R,Y,40214,14708,3926,13803,9972,9749,,
L2S,Y,44987,17829,3103,9531,9610,10822,,
L2T,Y,39861,17990,2814,15047,9345,10110,,
L2V,Y,40443,12761,2798,5947,9891,9430,,
L2W,Y,52627,25369,297,24702,9693,10421,,
L3B,Y,37253,11438,4828,6291,9624,9339,,
L3C,Y,41415,12919,7653,6283,9111,10245,,
L3K,Y,40804,13642,4393,10016,9012,9184,,
L3L,Y,96351,25525,37,42919,7610,22317,,
L3M,Y,58158,22665,4439,14281,8740,9770,,
L3P,Y,60612,16944,4887,13961,9702,10490,,
L3R,Y,54289,14777,6567,16563,9953,10893,,
L3S,Y,41061,8918,3889,7043,10500,10674,,
L3T,Y,60824,16904,6151,22617,9877,11056,,
L3V,Y,41442,15859,10987,12874,9171,8910,,
L3X,Y,61830,15613,2607,10958,9686,10918,,
L3Y,Y,51997,15979,6667,11933,9219,10086,,
L3Z,Y,51605,13809,2977,12257,9395,9480,,
L4A,Y,63255,17755,4906,18734,9613,10908,,
L4B,Y,66006,19078,2665,21411,9856,10614,,
L4C,Y,54932,14791,7688,17217,10063,10546,,
L4E,Y,64626,15362,2097,13272,10329,10648,,
L4G,Y,70111,16163,5024,23022,9730,11662,,
L4H,Y,61392,16378,2961,12623,10100,9654,,
L4J,Y,64500,21197,6604,21507,9594,10778,,
