Prov/Terr,FSA,Employment Income #,Employment Income $,Pension Income #,Pension Income $,Investment Income #,Investment Income $,Self-employment Income #,Self-employment Income $,Benefits Income #,Benefits Income $,Other Income #,Other Income $,,,,,,,,,,,
11,C0B,16340 ,583813000 ,9620 ,185627000 ,5810 ,57791000 ,3650 ,55200000 ,12890 ,139572000 ,7290 ,59857000 ,,,,,,,,,,,
11,C1A,13920 ,548258000 ,7780 ,216444000 ,5240 ,74767000 ,1630 ,22874000 ,7530 ,71121000 ,7190 ,55732000 ,,,,,,,,,,,
11,C1B,7660 ,376310000 ,3580 ,110582000 ,3130 ,46136000 ,1110 ,20634000 ,3080 ,27531000 ,3740 ,31981000 ,,,,,,,,,,,
11,C1C,2820 ,115857000 ,1310 ,34181000 ,820 ,6499000 ,310 ,3211000 ,1310 ,11416000 ,1270 ,10073000 ,,,,,,,,,,,
11,C1E,6840 ,305627000 ,3120 ,87285000 ,2840 ,36593000 ,930 ,15421000 ,2860 ,24950000 ,3240 ,22954000 ,,,,,,,,,,,
11,C1N,9310 ,367626000 ,5850 ,133747000 ,2910 ,43094000 ,1030 ,14232000 ,5980 ,54004000 ,4330 ,34371000 ,,,,,,,,,,,
TOTAL,,82050 ,3288611000 ,45510 ,1099795000 ,29550 ,366493000 ,13690 ,199508000 ,49770 ,491985000 ,38600 ,304635000 ,,,,,,,,,,,
12,B0C,1320 ,36377000 ,940 ,19890000 ,480 ,6447000 ,400 ,6867000 ,1530 ,20571000 ,710 ,6615000 ,,,,,,,,,,,
12,B0E,11360 ,411285000 ,10310 ,233855000 ,4010 ,44072000 ,1650 ,24238000 ,10330 ,103407000 ,5580 ,47033000 ,,,,,,,,,,,
12,B0H,4560 ,170355000 ,3880 ,77761000 ,1420 ,12758000 ,760 ,13704000 ,4220 ,41890000 ,2260 ,20833000 ,,,,,,,,,,,
12,B0J,18080 ,749392000 ,15900 ,405668000 ,8570 ,125623000 ,3880 ,56992000 ,12580 ,106323000 ,10180 ,102729000 ,,,,,,,,,,,
12,B0K,16950 ,621799000 ,13600 ,332741000 ,5580 ,65906000 ,2410 ,26729000 ,12130 ,105118000 ,8620 ,77041000 ,,,,,,,,,,,
12,B0L,1100 ,40571000 ,990 ,20193000 ,310 ,2142000 ,130 ,1057000 ,950 ,7184000 ,480 ,3840000 ,,,,,,,,,,,
12,B0M,7720 ,296157000 ,6330 ,137073000 ,2400 ,27445000 ,1300 ,11176000 ,5990 ,48716000 ,3500 ,29458000 ,,,,,,,,,,,
12,B0N,19170 ,801953000 ,13430 ,309374000 ,5800 ,66729000 ,2680 ,26747000 ,12070 ,98291000 ,8770 ,80119000 ,,,,,,,,,,,
12,B0P,19710 ,800889000 ,14410 ,361157000 ,7230 ,100411000 ,2880 ,33623000 ,10970 ,87472000 ,9170 ,76044000 ,,,,,,,,,,,
12,B0R,2560 ,88867000 ,2600 ,60179000 ,1170 ,13106000 ,590 ,5360000 ,2130 ,16403000 ,1460 ,11447000 ,,,,,,,,,,,
12,B0S,7450 ,249018000 ,7600 ,176754000 ,3140 ,36123000 ,1640 ,13570000 ,6020 ,48501000 ,4330 ,36635000 ,,,,,,,,,,,
