FSA,Employment Income #,Employment Income $,EmploymentIncomePP,Pension Income #,Pension Income $,PensionIncomePP,Investment Income #,Investment Income $,InvestmentIncomePP,Self-employment Income #,Self-employment Income $,SelfEmpIncomePP,Benefits Income #,Benefits Income $,BenefitIncomePP,Other Income #,Other Income $,OtherIncomePP
K4C,2290,154095000,67290,1390,58192000,865,1500,43340000,28893,430,13176000,30642,690,6327000,9170,1250,13891000,11113
K4K,8780,470816000,53624,5110,177435000,3309,4020,36695000,9128,1060,18958000,17885,3300,29037000,8799,3850,35734000,9282
K4M,7080,597972000,84459,3530,155910000,1846,4970,144475000,29069,1260,37451000,29723,1630,15985000,9807,4150,48654000,11724
K4P,5700,418245000,73376,2570,98782000,1346,2950,68392000,23184,800,16814000,21018,1440,13408000,9311,2750,27384000,9958
K4R,4800,287716000,59941,2210,82013000,1368,2060,23525000,11420,640,10697000,16714,1370,11637000,8494,2020,17736000,8780
K6A,5660,218405000,38587,5190,127680000,3309,3350,32077000,9575,700,10984000,15691,4950,43513000,8791,3060,28130000,9193
K6H,13780,534101000,38759,10150,265758000,6857,6100,52953000,8681,1360,17509000,12874,9930,90726000,9137,7560,68917000,9116
K6J,8120,307034000,37812,5790,143542000,3796,3170,23324000,7358,780,11303000,14491,5740,49294000,8588,4060,36632000,9023
K6K,1700,78026000,45898,1100,30212000,658,750,8471000,11295,180,2768000,15378,860,7332000,8526,760,7542000,9924
K6T,360,17861000,49614,210,6581000,133,160,554000,3463,40,1437000,35925,120,1162000,9683,160,1676000,10475
K6V,13060,552029000,42269,10290,321199000,7599,6910,88378000,12790,1640,27101000,16525,7460,67438000,9040,7510,78048000,10393
K7A,8330,350950000,42131,5700,163998000,3893,3150,24387000,7742,1150,11105000,9657,4730,43002000,9091,4060,39392000,9702
K7C,10230,553272000,54083,5740,189612000,3506,4240,58026000,13685,1480,28855000,19497,3920,34558000,8816,5080,46302000,9115
K7G,4240,188263000,44402,3290,106831000,2406,2330,52087000,22355,710,11015000,15514,2050,17674000,8621,2450,23837000,9729
K7H,7500,376478000,50197,6520,223511000,4453,4710,64608000,13717,1420,18265000,12863,3730,30494000,8175,4390,42329000,9642
K7K,15760,692493000,43940,7320,219730000,5001,5690,68184000,11983,2090,38893000,18609,8530,87109000,10212,7970,73552000,9229
K7L,8390,440200000,52467,5640,244952000,4669,5920,179468000,30316,1600,48538000,30336,2920,26796000,9177,5280,55774000,10563
K7M,24280,1057130000,43539,14850,523497000,12024,11940,152219000,12749,3330,61440000,18450,10580,101522000,9596,12780,121917000,9540
K7N,4410,204563000,46386,2180,69091000,1489,1380,9776000,7084,380,6961000,18318,1830,18041000,9858,1830,15344000,8385
K7P,13390,711014000,53100,6340,228562000,4304,6200,77761000,12542,1850,43750000,23649,4330,41529000,9591,6450,59628000,9245
K7R,6960,301796000,43361,5320,152363000,3514,3250,32776000,10085,1070,12270000,11467,4020,36410000,9057,3680,32314000,8781
K7S,6850,322681000,47107,4850,148713000,3157,3140,33883000,10791,990,12952000,13083,3440,28922000,8408,3470,33937000,9780
K7V,6390,272919000,42710,5150,141144000,3305,3010,30468000,10122,1010,13080000,12950,4150,35044000,8444,3260,30373000,9317
K8A,12530,573183000,45745,8920,254154000,5556,5630,59957000,10650,1730,27388000,15831,7200,63824000,8864,6140,56736000,9240
K8B,270,16000000,59259,120,3959000,67,110,1157000,10518,20,749000,37450,60,492000,8200,110,856000,7782
K8H,8800,505866000,57485,2820,88289000,1536,2170,10979000,5059,720,10207000,14176,2110,19332000,9162,2800,27824000,9937
K8N,14750,689658000,46756,10380,324135000,6932,7920,101137000,12770,2170,45811000,21111,7690,70832000,9211,8060,77579000,9625
K8P,10810,404132000,37385,6660,185646000,4966,4330,35075000,8100,1280,20877000,16310,6810,64537000,9477,5620,48761000,8676
K8R,960,47699000,49686,550,18824000,379,420,3385000,8060,100,954000,9540,380,3365000,8855,450,4072000,9049
K8V,13760,599201000,43547,9140,253875000,5830,5320,41585000,7817,1460,21818000,14944,7500,68759000,9168,6550,58172000,8881
K9A,12560,583598000,46465,10600,353290000,7603,7960,109386000,13742,2040,34660000,16990,6210,52217000,8409,7910,89166000,11273
K9H,13040,511527000,39228,8510,253295000,6457,6530,68481000,10487,2040,31541000,15461,8140,76151000,9355,7960,69108000,8682
K9J,21350,883418000,41378,13450,395955000,9569,10460,136214000,13022,3330,49121000,14751,12250,111446000,9098,12270,109730000,8943
K9K,7130,340005000,47687,4450,158031000,3314,4200,48286000,11497,1010,20460000,20257,2670,23331000,8738,4050,35381000,8736
