FSA,Employment Income #,Employment Income $,EmploymentIncomePP,Pension Income #,Pension Income $,PensionIncomePP,Investment Income #,Investment Income $,InvestmentIncomePP,Self-employment Income #,Self-employment Income $,SelfEmpIncomePP,Benefits Income #,Benefits Income $,BenefitIncomePP,Other Income #,Other Income $,OtherIncomePP
L7P,16000,1007368000,62961,7690,265858000,4223,8480,201691000,23784,2410,57093000,23690,5540,49490000,8933,8660,93215000,10764
L7R,8970,541112000,60325,4770,164092000,2720,5240,114497000,21851,1490,33898000,22750,3660,33092000,9042,5160,52770000,10227
L7S,5730,330654000,57706,4380,152133000,2636,4050,66620000,16449,930,20225000,21747,2630,24044000,9142,3710,37663000,10152
L7T,8960,549789000,61360,6020,218141000,3555,6100,293428000,48103,1570,40040000,25503,3440,31357000,9115,5590,58505000,10466
L8B,11910,762873000,64053,3900,125021000,1952,5520,69413000,12575,1810,32461000,17934,3720,34028000,9147,5640,62655000,11109
L8E,21430,1046485000,48833,10200,256473000,5252,9160,100106000,10929,3130,44782000,14307,10410,97770000,9392,11310,106765000,9440
L8G,10690,492671000,46087,7820,222856000,4836,6070,62929000,10367,1460,21013000,14392,5780,51279000,8872,5950,57225000,9618
L8H,12850,515125000,40088,5630,112315000,2802,3000,16118000,5373,1350,14548000,10776,8910,85884000,9639,6570,62202000,9468
L8J,15370,787449000,51233,5330,138324000,2700,5780,50908000,8808,2260,34573000,15298,6080,58365000,9600,7770,74055000,9531
L8K,15940,690064000,43291,8850,218859000,5056,5790,39702000,6857,2030,24965000,12298,9260,86356000,9326,8060,71251000,8840
L8L,13540,503726000,37203,5430,96195000,2586,3330,17136000,5146,1890,21596000,11426,10870,112605000,10359,7780,71370000,9174
L8M,6000,258148000,43025,2610,57298000,1332,1860,15458000,8311,960,14995000,15620,4300,43654000,10152,3250,31540000,9705
L8N,7000,285137000,40734,2700,54907000,1348,1910,18661000,9770,1130,14120000,12496,4910,50853000,10357,3720,36115000,9708
L8P,11280,570475000,50574,5550,167742000,3317,5400,118346000,21916,2090,58143000,27820,6150,60102000,9773,6310,69951000,11086
L8R,4900,193886000,39569,2280,44206000,1117,1550,10693000,6899,850,11996000,14113,3810,40189000,10548,2720,27523000,10119
L8S,7300,307553000,42131,2980,97151000,2306,3530,50940000,14431,1180,21435000,18165,2790,26470000,9487,3960,35449000,8952
L8T,10130,440802000,43515,5550,159305000,3661,4090,33500000,8191,1110,13450000,12117,5120,47009000,9181,5100,45905000,9001
L8V,10400,428681000,41219,6190,150158000,3643,3670,18969000,5169,1120,10562000,9430,6550,60082000,9173,5110,43453000,8504
L8W,14060,634658000,45139,5590,140699000,3117,4500,30009000,6669,1720,17551000,10204,6850,67546000,9861,7120,69919000,9820
L9A,13340,570548000,42770,6160,161857000,3784,4740,30585000,6453,1790,20913000,11683,7140,70028000,9808,6740,59190000,8782
L9B,12670,622912000,49164,6330,195102000,3968,6220,59227000,9522,1730,25601000,14798,5350,52645000,9840,7100,63364000,8925
L9C,21350,943430000,44189,10220,304759000,6897,8810,87279000,9907,2980,40025000,13431,10040,96016000,9563,11170,105898000,9481
L9E,7020,407102000,57992,970,22672000,391,3200,48268000,15084,1420,19389000,13654,2230,23275000,10437,3980,37292000,9370
L9G,13010,888370000,68284,6840,273920000,4011,9020,245302000,27195,2490,86284000,34652,3400,30908000,9091,7850,86636000,11036
L9H,15710,939697000,59815,9880,375552000,6279,10470,228634000,21837,2880,66728000,23169,5250,45529000,8672,9480,98942000,10437
L9J,750,34193000,45591,450,13054000,286,410,2815000,6866,160,1986000,12413,370,3376000,9124,480,4888000,10183
L9K,7760,476996000,61469,3060,102413000,1666,4660,84489000,18131,1470,32716000,22256,2410,23489000,9746,4680,49420000,10560
L9L,7420,401205000,54071,5050,180520000,3339,4860,90088000,18537,1410,24601000,17448,2810,25011000,8901,4750,52165000,10982
L9M,6610,281274000,42553,5860,171028000,4019,3940,49708000,12616,1170,17529000,14982,4190,35146000,8388,4190,39108000,9334
L9N,10570,582763000,55134,3250,85312000,1547,5210,45367000,8708,2250,33703000,14979,4110,38942000,9475,6160,65546000,10641
L9P,8920,580316000,65058,4800,158970000,2444,5690,122184000,21473,1870,35165000,18805,3020,25663000,8498,5320,60528000,11377
L9R,12540,620909000,49514,6590,217049000,4384,5770,74383000,12891,1860,28252000,15189,5640,49043000,8696,7050,65088000,9232
L9S,15890,810024000,50977,7430,191160000,3750,6190,79001000,12763,2790,34687000,12433,7790,69106000,8871,8970,85802000,9565
L9T,57530,3489599000,60657,13260,336076000,5541,23030,236203000,10256,9270,123735000,13348,18800,181900000,9676,29050,271685000,9352
L9V,8760,440039000,50233,3610,93562000,1863,3370,51159000,15181,1830,18225000,9959,3970,34565000,8707,4650,42684000,9179
L9W,26640,1449090000,54395,10520,306392000,5633,11080,179058000,16160,4310,63420000,14715,10830,94825000,8756,13520,125223000,9262
L9X,6350,411436000,64793,2710,95558000,1475,3650,95344000,26122,1260,30631000,24310,1880,16581000,8820,3500,34631000,9895
L9Y,12740,612208000,48054,9910,349620000,7276,9310,226840000,24365,3070,75467000,24582,6230,54026000,8672,9170,98941000,10790
L9Z,9900,396190000,40019,10290,306128000,7650,6460,52515000,8129,1820,29411000,16160,6290,52368000,8326,6880,64039000,9308
M1B,35790,1369134000,38255,13460,242587000,6341,12000,48237000,4020,5960,33595000,5637,19420,203619000,10485,21910,197272000,9004
M1C,20030,1111377000,55486,9190,292269000,5267,11670,114664000,9826,3360,43050000,12813,7170,72159000,10064,11920,121256000,10172
M1E,24260,1029821000,42449,10430,269241000,6343,9920,75258000,7586,4120,31673000,7688,13590,140925000,10370,15580,150174000,9639
M1G,15770,550296000,34895,5590,107142000,3070,4850,25113000,5178,2920,16605000,5687,9060,97865000,10802,9860,89928000,9120
M1H,12960,528097000,40748,4710,96882000,2378,5170,30711000,5940,2390,16946000,7090,6400,65651000,10258,7720,73382000,9505
M1J,18720,673667000,35986,6410,126011000,3502,5650,33286000,5891,3180,19354000,6086,10990,120390000,10955,11850,111905000,9443
M1K,25380,961188000,37872,9440,167380000,4420,8860,39587000,4468,4320,25231000,5841,15620,163661000,10478,15570,150720000,9680
M1L,17730,748780000,42232,5400,107560000,2547,6710,40736000,6071,3590,25996000,7241,9820,106312000,10826,11390,112002000,9833
M1M,11730,584637000,49841,5380,146497000,2939,5910,86046000,14559,2380,31875000,13393,5920,60848000,10278,7780,83162000,10689
M1N,11530,738763000,64073,5170,157702000,2461,6430,88314000,13735,2310,56880000,24623,5130,50555000,9855,7050,77731000,11026
M1P,22700,910825000,40124,8610,161788000,4032,8950,54516000,6091,3940,26987000,6849,12450,130686000,10497,13600,125166000,9203
M1R,15680,644571000,41108,6400,134066000,3261,6490,42262000,6512,3080,29697000,9642,8700,89905000,10334,9970,96473000,9676
M1S,18840,765470000,40630,9020,167592000,4125,11790,106502000,9033,4080,33542000,8221,10380,104948000,10111,13070,131796000,10084
M1T,16320,680152000,41676,8530,174321000,4183,9160,90918000,9926,3300,29517000,8945,9980,104285000,10449,11080,106125000,9578
M1V,24910,880804000,35359,12550,215775000,6102,16050,103381000,6441,5610,41963000,7480,15190,156048000,10273,18670,184751000,9896
M1W,22740,967173000,42532,12570,255371000,6004,15520,135907000,8757,4830,43374000,8980,13110,133148000,10156,16040,155097000,9669
M1X,8660,358720000,41423,2660,35209000,850,3180,16594000,5218,1500,10358000,6905,4290,47734000,11127,5530,51664000,9342
M2H,11570,569246000,49200,6250,163289000,3319,9270,131448000,14180,2810,28250000,10053,5380,55508000,10317,8420,79148000,9400
M2J,32700,1601156000,48965,11160,272956000,5575,17420,194572000,11169,7060,71565000,10137,13670,141282000,10335,19330,189907000,9824
M2K,12480,745329000,59722,5250,172805000,2893,9580,223669000,23347,3270,50795000,15534,4160,42002000,10097,8670,103558000,11944
M2L,5400,552018000,102226,2530,117142000,1146,5250,415121000,79071,1530,58790000,38425,1520,15670000,10309,4410,73120000,16580
M2M,16410,804427000,49021,7100,171738000,3503,11380,204281000,17951,4220,58991000,13979,7510,76208000,10148,11480,116658000,10162
M2N,38170,2476491000,64881,12630,338749000,5221,28640,506197000,17674,8890,162186000,18244,12410,128985000,10394,24010,250387000,10428
M2P,3590,423301000,117911,1720,70043000,594,3840,283605000,73855,1090,32711000,30010,800,7782000,9728,3130,47081000,15042
M2R,20900,910008000,43541,8750,174574000,4009,9330,141678000,15185,5470,61667000,11274,12020,124124000,10326,14260,141566000,9927
M3A,17290,872490000,50462,6560,170758000,3384,7750,129873000,16758,3570,45199000,12661,8330,87233000,10472,10640,105863000,9950
M3B,6360,542334000,85273,3730,155250000,1821,6850,455521000,66499,1680,71662000,42656,1540,14794000,9606,5240,81305000,15516
M3C,18170,859995000,47330,8420,215238000,4548,9070,261374000,28817,4120,52202000,12670,10150,110874000,10924,12540,132856000,10595
M3H,20040,1209235000,60341,7110,170325000,2823,11200,346466000,30934,4670,130902000,28030,8750,87978000,10055,12780,130995000,10250
M3J,16920,598631000,35380,4540,84550000,2390,5080,51831000,10203,3000,21099000,7033,8920,90874000,10188,10050,91906000,9145
M3K,4480,232166000,51823,1700,39782000,768,2280,36145000,15853,800,11232000,14040,2290,21310000,9306,2630,23412000,8902
M3L,9980,364238000,36497,3970,64576000,1769,3060,12691000,4147,1680,12809000,7624,7100,71899000,10127,6420,57934000,9024
M3M,12930,519238000,40158,5030,95602000,2381,4320,32519000,7528,2100,18314000,8721,8150,80199000,9840,7930,67433000,8504
M3N,19060,611655000,32091,7100,95027000,2961,4530,21810000,4815,2830,19988000,7063,15750,167365000,10626,13180,121685000,9233
M4A,7020,330313000,47053,3390,72591000,1543,3330,30743000,9232,1360,14734000,10834,4230,44120000,10430,4410,42322000,9597
M4B,9080,476069000,52431,3910,101746000,1941,4390,48327000,11008,1680,31655000,18842,4860,51320000,10560,5790,63499000,10967
M4C,23530,1326113000,56358,8090,184309000,3270,10900,89394000,8201,4940,70401000,14251,11690,121902000,10428,13620,133855000,9828
M4E,12680,1206254000,95130,4840,169013000,1777,8290,195833000,23623,2930,132560000,45242,4190,41883000,9996,7670,98914000,12896
M4G,9940,1220595000,122796,4250,189497000,1543,8530,343417000,40260,2300,137089000,59604,2160,20334000,9414,6950,100345000,14438
M4H,6780,226144000,33355,2440,44168000,1324,1800,13033000,7241,2410,13354000,5541,4760,56062000,11778,5610,62916000,11215
M4J,17240,1220511000,70795,7140,167706000,2369,10040,105173000,10475,3880,90935000,23437,8370,81979000,9794,10000,105930000,10593
M4K,15360,1189470000,77439,6400,183796000,2373,9730,184917000,19005,4150,142537000,34346,6490,65636000,10113,9450,112858000,11943
M4L,15730,1310349000,83303,5270,152762000,1834,9700,161224000,16621,3670,122541000,33390,6550,67758000,10345,9230,108056000,11707
M4M,12830,1029761000,80262,3690,75286000,938,7420,97349000,13120,2920,87290000,29894,5950,61842000,10394,7150,77543000,10845
M4N,7340,1563212000,212972,3760,189875000,892,7690,759915000,98819,1850,125116000,67630,1590,15746000,9903,5960,114592000,19227
M4P,13240,967026000,73038,3720,118293000,1620,7220,202450000,28040,2770,72178000,26057,4420,45328000,10255,7000,80098000,11443
M4R,6090,738247000,121223,2110,87322000,720,4840,220050000,45465,1430,100649000,70384,1350,13294000,9847,3970,60387000,15211
M4S,16220,1400264000,86329,4930,185827000,2153,10350,233163000,22528,3180,113362000,35648,4500,45140000,10031,8710,98288000,11285
M4T,5360,872721000,162821,3240,168028000,1032,5700,464160000,81432,1460,105224000,72071,1170,11318000,9674,4450,91893000,20650
M4V,9310,1368397000,146981,4840,254661000,1733,8540,782144000,91586,2630,142191000,54065,2280,21992000,9646,6860,119639000,17440
M4W,7100,1290654000,181782,3710,191610000,1054,7340,719712000,98053,1990,155887000,78335,1480,14231000,9616,5560,133386000,23990
M4X,10310,513159000,49773,3060,61193000,1229,3330,56285000,16902,2040,37812000,18535,6230,70330000,11289,5750,60182000,10466
M4Y,19040,1188520000,62422,4200,135153000,2165,10130,143252000,14141,3780,65355000,17290,5890,61625000,10463,9350,98944000,10582
M5A,23690,1651788000,69725,6140,148939000,2136,11270,199433000,17696,5110,116398000,22778,12560,138407000,11020,13500,153638000,11381
M5B,8230,491757000,59752,1850,44073000,738,4130,42131000,10201,1510,31922000,21140,3250,35234000,10841,4000,40754000,10189
M5C,2190,334306000,152651,690,29335000,192,1770,139951000,79068,520,31195000,59990,620,6298000,10158,1400,29055000,20754
M5E,6700,730876000,109086,1850,73003000,669,4890,355506000,72701,1190,43087000,36208,1600,15608000,9755,3290,51864000,15764
M5G,5470,320228000,58543,8880,132170000,2258,16310,47996000,2943,820,31071000,37891,13010,126533000,9726,4750,28005000,5896
M5H,2150,388702000,180792,380,20761000,115,1700,124243000,73084,400,26702000,66755,310,3180000,10258,1030,20347000,19754
M5J,9400,969235000,103110,2220,88099000,854,6920,188694000,27268,1700,51094000,30055,1750,17664000,10094,4430,59499000,13431
M5K,90,22766000,252956,80,2946000,12,130,23673000,182100,30,9397000,313233,20,246000,12300,80,2128000,26600
M5L,20,4405000,220250,10,456000,2,30,2822000,94067,0,0,0,0,0,0,20,119000,5950
M5M,12740,1564149000,122775,4940,194229000,1582,11730,511301000,43589,3220,243666000,75673,2800,27369000,9775,9350,133526000,14281
M5N,7940,851707000,107268,3090,116174000,1083,6550,363499000,55496,2330,155232000,66623,2300,23352000,10153,5900,84290000,14286
M5P,9760,1227848000,125804,4490,197728000,1572,8960,651038000,72660,2760,156213000,56599,2410,23539000,9767,7230,115353000,15955
M5R,12230,1403763000,114780,5690,261348000,2277,10490,792373000,75536,3710,180272000,48591,3910,39782000,10174,8700,154916000,17806
M5S,7860,595401000,75751,2640,108018000,1426,5790,236760000,40891,1850,51288000,27723,2260,22107000,9782,4650,65476000,14081
M5T,8790,480449000,54659,3080,54252000,993,4760,66346000,13938,2030,32064000,15795,5280,58076000,10999,5340,55269000,10350
M5V,34020,3057281000,89867,3400,96471000,1073,18740,376618000,20097,5990,147052000,24550,7710,80077000,10386,14380,166635000,11588
M5W,50,5518000,110360,50,1140000,10,50,2284000,45680,20,351000,17550,30,302000,10067,50,367000,7340
M5X,30,5110000,170333,30,4308000,25,50,18299000,365980,10,3427000,342700,0,0,0,0,0,0
M6A,11380,520520000,45740,4100,85246000,1864,4770,132478000,27773,2090,26346000,12606,6240,64409000,10322,7050,69098000,9801
M6B,14410,837562000,58124,6240,143507000,2469,8080,221742000,27443,3080,102917000,33415,7420,71559000,9644,9180,89659000,9767
M6C,12210,926934000,75916,4710,129351000,1704,7850,216753000,27612,3120,136233000,43664,5290,53402000,10095,7380,79978000,10837
M6E,19720,923898000,46851,7790,143969000,3073,7930,66575000,8395,3690,51606000,13985,12250,119012000,9715,11030,92996000,8431
M6G,15350,1117552000,72805,6070,167207000,2297,10230,197912000,19346,4290,125670000,29294,6640,65452000,9857,9190,98761000,10747
M6H,23530,1335406000,56753,7730,169204000,2981,12230,156627000,12807,5690,101479000,17835,11960,118812000,9934,13020,117782000,9046
M6J,16960,1400601000,82583,4630,97932000,1186,9940,159081000,16004,4210,119412000,28364,7210,71375000,9899,8970,98895000,11025
M6K,21240,1302041000,61301,4720,77506000,1264,8330,80995000,9723,4540,76346000,16816,11240,123503000,10988,10700,104222000,9740
M6L,10100,418734000,41459,4810,98739000,2382,4580,50297000,10982,1750,17645000,10083,6710,65692000,9790,6460,58505000,9057
M6M,20900,840516000,40216,7890,136243000,3388,6540,36203000,5536,3560,35002000,9832,14310,148021000,10344,12880,112427000,8729
M6N,20080,889405000,44293,8300,152061000,3433,7860,39811000,5065,3810,45649000,11981,13530,136350000,10078,11900,102452000,8609
M6P,21070,1512785000,71798,6690,192317000,2679,11810,167140000,14152,4910,112167000,22845,8440,85175000,10092,11380,114161000,10032
M6R,9910,854952000,86272,2950,84961000,985,6310,134790000,21361,2890,100897000,34912,3520,35030000,9952,5800,63817000,11003
M6S,17230,1604141000,93102,6640,239834000,2576,12090,268699000,22225,3810,147072000,38602,5420,52385000,9665,10450,116895000,11186
M7A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M7Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M8V,22200,1404938000,63285,8470,235241000,3717,11520,226145000,19631,4760,87967000,18480,10190,105343000,10338,12900,138453000,10733
M8W,12070,736754000,61040,4700,121147000,1985,6470,77540000,11985,2200,38649000,17568,5220,50979000,9766,6390,61367000,9604
M8X,5150,677802000,131612,3320,167977000,1276,5440,278015000,51106,1250,100272000,80218,1100,10127000,9206,4140,85355000,20617
M8Y,11320,853866000,75430,4040,117934000,1563,6500,115078000,17704,2550,73694000,28900,4400,44004000,10001,6530,77185000,11820
M8Z,10100,763389000,75583,3790,110866000,1467,6320,96858000,15326,1810,49304000,27240,3500,32951000,9415,5490,53382000,9723
M9A,18630,1490525000,80007,8460,292714000,3659,12520,544856000,43519,3780,169702000,44895,7020,70674000,10068,11860,152758000,12880
M9B,17890,1193190000,66696,7230,226211000,3392,11220,198632000,17703,3470,74274000,21405,6430,63540000,9882,10570,113109000,10701
M9C,20150,1139601000,56556,9970,300544000,5314,11580,148949000,12863,3810,58748000,15419,8480,82126000,9685,12130,114165000,9412
M9L,6130,231057000,37693,2730,50237000,1333,2560,22276000,8702,1060,8390000,7915,4180,41128000,9839,3840,32559000,8479
M9M,12630,490924000,38870,4190,70799000,1821,3960,27654000,6983,2100,17249000,8214,7720,77748000,10071,7820,69128000,8840
M9N,12870,541793000,42097,4820,93145000,2213,4180,25725000,6154,2520,25837000,10253,8830,92812000,10511,8340,79981000,9590
M9P,9910,543537000,54847,5630,169021000,3082,6310,107123000,16977,2050,34824000,16987,5040,48384000,9600,6710,61230000,9125
M9R,16790,764926000,45558,7840,193794000,4254,7500,76371000,10183,3220,34024000,10566,9650,100457000,10410,10960,102727000,9373
M9V,29750,1015736000,34142,9180,148793000,4358,8220,40683000,4949,4840,32486000,6712,18120,192337000,10615,18060,161705000,8954
M9W,23390,919691000,39320,8400,161400000,4105,8330,112142000,13462,3980,30714000,7717,12630,127729000,10113,13530,128606000,9505
N0A,16400,725607000,44244,12600,366963000,8294,8970,98547000,10986,3030,36292000,11978,9020,78398000,8692,9960,98526000,9892
N0B,44230,2763690000,62485,20260,627580000,10044,27220,646410000,23748,10640,192470000,18089,13600,108270000,7961,22100,217436000,9839
N0C,7690,337945000,43946,4710,124275000,2828,4090,62936000,15388,2430,24479000,10074,4090,33389000,8164,4070,36382000,8939
N0E,17820,845062000,47422,10720,292807000,6174,9360,170608000,18227,4120,50538000,12267,8140,67064000,8239,8990,79954000,8894
N0G,40040,1899867000,47449,22730,572574000,12067,22900,322541000,14085,12920,171396000,13266,19740,152451000,7723,19590,163017000,8321
N0H,23840,1228414000,51527,19270,651000000,12634,16340,263316000,16115,5900,92701000,15712,11660,95519000,8192,15070,177804000,11799
N0J,16990,796746000,46895,7760,184623000,3937,8200,138181000,16851,4290,50432000,11756,7150,56351000,7881,7400,70368000,9509
N0K,12520,573317000,45792,5700,135020000,2949,7620,123423000,16197,4020,52592000,13083,4770,35356000,7412,5650,39939000,7069
N0L,26050,1346228000,51679,14130,388713000,7522,13760,188487000,13698,5800,82717000,14262,11310,91511000,8091,13990,128693000,9199
N0M,34280,1674891000,48859,21130,610167000,12488,21880,385952000,17639,8770,132763000,15138,14520,115181000,7933,18980,153388000,8082
N0N,21070,1139337000,54074,13280,461405000,8533,12310,151563000,12312,4100,49644000,12108,9200,80854000,8788,12170,103259000,8485
N0P,26460,1120545000,42349,16800,443742000,10478,13550,180483000,13320,6830,90352000,13229,14010,113627000,8110,13800,115312000,8356
N0R,27640,1442915000,52204,13010,391543000,7500,12160,146796000,12072,4070,64997000,15970,12000,106252000,8854,15270,132004000,8645
N1A,5860,243950000,41630,4030,102422000,2460,2840,29072000,10237,1030,16867000,16376,3320,27939000,8415,2980,26255000,8810
N1C,2240,151108000,67459,790,28327000,420,1300,19610000,15085,320,5664000,17700,610,5240000,8590,1170,14459000,12358
N1E,23650,1262898000,53399,8790,246960000,4625,9900,119971000,12118,3360,58066000,17282,10040,85378000,8504,11070,94042000,8495
N1G,14940,801454000,53645,6600,257811000,4806,8660,158027000,18248,2240,35982000,16063,5110,44977000,8802,8300,79896000,9626
N1H,21920,1084466000,49474,10190,295483000,5972,10480,162539000,15509,3470,56327000,16233,11210,95427000,8513,11240,103285000,9189
N1K,6530,314905000,48224,1950,45839000,951,2410,21021000,8722,800,11511000,14389,3100,25655000,8276,2950,23980000,8129
N1L,9330,566476000,60716,2370,74401000,1225,4450,81217000,18251,1350,23727000,17576,2730,24846000,9101,4540,43832000,9655
N1M,9570,481361000,50299,4770,141594000,2815,4500,57002000,12667,1420,21129000,14880,3780,30034000,7946,4530,39214000,8657
N1P,4530,240543000,53100,1050,21703000,409,1290,8323000,6452,490,7931000,16186,1790,15477000,8646,1900,15163000,7981
N1R,21380,939936000,43963,10430,246275000,5602,7630,101538000,13308,2570,32279000,12560,12850,113329000,8819,10460,89552000,8561
N1S,10240,552797000,53984,4960,142436000,2638,4360,59808000,13717,1360,26144000,19224,4740,41089000,8669,5060,49217000,9727
N1T,10550,571048000,54128,3140,79335000,1466,4200,60404000,14382,1370,20845000,15215,3960,36782000,9288,5330,53419000,10022
N2A,16730,894811000,53485,6840,183977000,3440,7460,95537000,12807,2360,43248000,18325,7410,68360000,9225,8280,72942000,8809
N2B,9180,434176000,47296,4430,115526000,2443,4110,35354000,8602,1230,16156000,13135,4470,39660000,8872,4390,41182000,9381
N2C,9770,373106000,38189,3640,83968000,2199,2820,38010000,13479,1260,11634000,9233,5420,49221000,9081,4520,37899000,8385
N2E,22470,1018107000,45310,6660,148969000,3288,6850,41519000,6061,2990,35201000,11773,10200,93505000,9167,10080,85688000,8501
N2G,7340,364132000,49609,3300,79899000,1611,3260,30984000,9504,1190,18485000,15534,4170,39195000,9399,3740,31869000,8521
N2H,11630,608716000,52340,4680,121978000,2330,5060,51013000,10082,1730,26425000,15275,5460,47972000,8786,5400,46609000,8631
N2J,9970,521371000,52294,4840,152842000,2923,5660,94160000,16636,1670,30398000,18202,3910,33626000,8600,5170,46014000,8900
N2K,16410,1118623000,68167,5310,164285000,2410,9040,219924000,24328,2390,55347000,23158,4940,43469000,8799,8030,82607000,10287
N2L,18250,867661000,47543,6600,245858000,5171,9440,172704000,18295,2650,45455000,17153,5710,51597000,9036,9250,84490000,9134
N2M,18140,833941000,45972,7290,185321000,4031,6650,88338000,13284,2440,32416000,13285,10250,94974000,9266,8740,74058000,8473
N2N,14680,743973000,50679,5290,143015000,2822,6160,53385000,8666,2010,30052000,14951,5730,52245000,9118,6870,65728000,9567
N2P,14150,790904000,55894,3970,121470000,2173,6030,135619000,22491,2120,23924000,11285,4560,40476000,8876,6760,67087000,9924
N2R,9530,521463000,54718,1410,28703000,525,3270,30976000,9473,1450,21246000,14652,3170,29861000,9420,4290,37647000,8776
N2T,11390,767953000,67423,4060,140736000,2087,6860,118865000,17327,1880,36716000,19530,3080,29059000,9435,6180,62930000,10183
N2V,10520,719688000,68411,2870,80581000,1178,5790,76317000,13181,1620,31892000,19686,2770,25448000,9187,5230,52313000,10002
N2Z,6160,377464000,61277,4190,172187000,2810,4070,50400000,12383,1040,17194000,16533,2110,18015000,8538,3430,52848000,15408
N3A,8890,500285000,56275,4480,152866000,2716,5210,76696000,14721,1410,21863000,15506,2930,24048000,8208,4080,38620000,9466
N3B,6690,364096000,54424,2770,77639000,1427,3750,65487000,17463,1400,29816000,21297,2230,17687000,7931,2840,21709000,7644
N3C,15470,867253000,56060,4870,125044000,2231,5620,76551000,13621,1900,28805000,15161,6010,52551000,8744,6870,63491000,9242
N3E,1180,63377000,53709,180,3722000,69,490,9266000,18910,240,3020000,12583,420,4309000,10260,690,6249000,9057
N3H,13190,583535000,44241,5710,139671000,3157,4560,59003000,12939,1640,21211000,12934,6820,58490000,8576,6310,55920000,8862
N3L,8680,453659000,52265,4350,124107000,2375,4030,54735000,13582,1350,20906000,15486,3590,31584000,8798,4200,41722000,9934
N3P,4620,201957000,43714,2110,50926000,1165,1430,8420000,5888,510,7332000,14376,2330,21741000,9331,2060,20646000,10022
N3R,17590,797715000,45350,11110,315442000,6956,8390,77016000,9179,2260,37946000,16790,9330,82090000,8798,9070,87178000,9612
N3S,12660,496663000,39231,5960,125024000,3187,3670,21182000,5772,1360,14551000,10699,8520,82172000,9645,6360,58554000,9207
N3T,18170,852321000,46908,7800,204557000,4361,6990,111286000,15921,2670,45042000,16870,9150,87900000,9607,9220,89181000,9673
N3V,900,47107000,52341,420,10809000,207,340,3689000,10850,90,1108000,12311,360,3083000,8564,400,4186000,10465
N3W,8340,435899000,52266,3540,109165000,2089,3470,35583000,10254,1260,18191000,14437,3120,28834000,9242,4010,38936000,9710
N3Y,11130,474450000,42628,8240,240378000,5639,5900,73231000,12412,1750,23006000,13146,6550,55399000,8458,5750,49485000,8606
N4B,3980,170327000,42796,2470,61468000,1436,1800,24950000,13861,640,7625000,11914,2460,20111000,8175,2030,20242000,9971
N4G,9830,423588000,43091,7260,202745000,4705,5460,84859000,15542,1600,23785000,14866,5930,45704000,7707,5230,48261000,9228
N4K,13560,576188000,42492,9990,289327000,6809,7510,92693000,12343,2290,36761000,16053,7950,68440000,8609,7610,79418000,10436
N4L,3570,145313000,40704,3360,101289000,2488,2520,34038000,13507,960,12146000,12652,2130,16589000,7788,2340,21099000,9017
N4N,4800,214479000,44683,3730,101772000,2278,2930,31430000,10727,910,13745000,15104,3060,23779000,7771,2620,25181000,9611
N4S,17490,770213000,44037,8920,228064000,5179,6890,91494000,13279,2310,32257000,13964,9670,80332000,8307,8400,80683000,9605
N4T,7320,363320000,49634,3490,105907000,2134,3360,40609000,12086,910,15718000,17273,2990,25923000,8670,3910,34267000,8764
N4V,1630,74175000,45506,870,26542000,583,740,5921000,8001,180,2177000,12094,780,6665000,8545,830,5923000,7136
N4W,6270,289595000,46187,3180,77915000,1687,3500,61342000,17526,1540,27591000,17916,2770,20818000,7516,2750,22508000,8185
N4X,5380,261184000,48547,3190,93589000,1928,3070,53580000,17453,1150,12612000,10967,2100,15685000,7469,2690,25314000,9410
N4Z,1300,63571000,48901,580,16782000,343,580,5766000,9941,150,1787000,11913,610,4793000,7857,560,4433000,7916
N5A,17020,754822000,44349,10260,306498000,6911,9640,138370000,14354,2960,48622000,16426,8590,69099000,8044,9270,82482000,8898
N5C,8510,392895000,46169,3890,102287000,2215,3230,55768000,17266,1150,17370000,15104,4020,34182000,8503,4150,51228000,12344
N5H,7450,307066000,41217,3620,85600000,2077,3260,43605000,13376,1830,31588000,17261,3740,30112000,8051,3310,25206000,7615
N5L,1660,77572000,46730,1550,50906000,1089,1210,19400000,16033,360,6758000,18772,760,5866000,7718,1190,13024000,10945
N5P,10770,467794000,43435,5420,142683000,3285,4110,45990000,11190,1600,24755000,15472,5810,50829000,8749,5630,49030000,8709
N5R,14830,644807000,43480,9220,264877000,6092,6210,48423000,7798,1780,29645000,16654,8050,68217000,8474,8100,66983000,8270
N5V,17790,656585000,36908,6570,153262000,4153,4650,66376000,14274,1920,19002000,9897,9420,87870000,9328,8430,76296000,9051
N5W,12550,491428000,39158,5890,132798000,3391,4010,18296000,4563,1570,19058000,12139,7630,70630000,9257,6500,60554000,9316
N5X,18290,991377000,54203,8160,302097000,5573,10290,148610000,14442,2930,60093000,20510,5760,54120000,9396,10330,95726000,9267
N5Y,18220,696930000,38251,6730,166396000,4350,5230,48058000,9189,2470,30027000,12157,10330,100000000,9681,9120,152870000,16762
N5Z,11400,432472000,37936,5370,113631000,2995,3330,18929000,5684,1360,14307000,10520,7700,74398000,9662,5990,51103000,8531
N6A,6130,349986000,57094,2730,101659000,1781,3410,112622000,33027,1110,38587000,34763,2270,21388000,9422,3570,38623000,10819
